match_id,tournament_id,competition,fs,match_date,round_name,hi_tier,lo_tier,hi_team,lo_team,venue,gap,goals_hi,goals_lo,shots_hi,shots_lo,sot_hi,sot_lo,pxg_hi,pxg_lo,p_mkt_hi,p_mkt_lo,odds_hi,odds_lo,lam_mkt_hi,lam_mkt_lo,bf_p_hi,bf_p_lo,p_draw_mkt,odds_draw,bf_p_draw,gd_hi,res_hi,sup_mkt_hi,err_hi,pbin,sup_tier_hi,ptier_hi,ptier_d,ptier_lo,sup_dc_hi,pdc_hi,pdc_d,pdc_lo
9634544,1520,Challenge Cup,2021,2021-08-10,Round 1,4,5,cowdenbeath,fraserburgh-fc,lo_home,1,1,0,7,8,2,3,,,0.3614589270822648,0.40316838236515046,2.55,2.3,1.5346920469492231,1.631888901550051,,,0.23537269055258483,3.8,,1,1,-0.09719685460082794,1.097196854600828,2,0.5548165002789385,0.5047695300452475,0.22266927240811382,0.2725611975466387,-0.25310988864788264,0.30945977764353993,0.2613104722840689,0.42922975007239117
9634545,1520,Challenge Cup,2021,2021-08-10,Round 1,4,5,forfar-athletic,formartine-united-fc,hi_home,1,1,0,15,8,8,4,,,0.6781348863898823,0.15671820169908146,1.4,5.5,2.6997041552328906,1.262615635546648,,,0.16514691191103625,5.25,,1,1,1.4370885196862426,-0.4370885196862426,4,1.1766160095321871,0.637214218972122,0.18958665275047204,0.17319912827740577,0.8115314381722969,0.5642628239886619,0.21568751763668847,0.22004965837464963
9634552,1520,Challenge Cup,2021,2021-08-10,Round 1,3,5,queens-park-fc,bonnyrigg-rose,hi_home,2,1,1,14,4,6,2,,,0.7115606096513692,0.1165500890414211,1.33,7.0,2.358935912407339,0.8429821038671175,,,0.1718893013072097,5.0,,0,0,1.5159538085402213,-1.5159538085402213,5,1.6797604712829308,0.7301125873431138,0.1544076186920851,0.11547979396480111,0.20216506308168603,0.40913623792813913,0.2828681659349833,0.30799559613687755
9634553,1520,Challenge Cup,2021,2021-08-11,Round 1,3,5,clyde-fc,broomhill-fc,lo_home,2,0,1,20,5,2,2,,,0.581993854985587,0.19545610187595255,1.62,4.5,1.8827140798927464,0.9926967104876862,,,0.2225500431384606,4.0,,-1,-1,0.8900173694050603,-1.8900173694050602,3,1.0241519507350942,0.6057092073588577,0.19849682543916974,0.19579396720197254,0.5064675996143193,0.49653974179102145,0.21295646258829168,0.29050379562068684
9634554,1520,Challenge Cup,2021,2021-08-11,Round 1,3,5,falkirk-fc,east-kilbride,hi_home,2,3,0,16,7,5,4,,,0.8687952147942881,0.04468669594066704,1.1,15.0,3.4682129166718143,0.7511649910082288,,,0.08651808926504483,9.0,,3,1,2.7170479256635858,0.2829520743364142,6,1.6797604712829308,0.7301125873431138,0.1544076186920851,0.11547979396480111,1.9356358823647444,0.7836638103768968,0.13573464616037287,0.08060154346273037
9673707,982,League Cup,2021,2021-08-13,Round 2,1,2,rangers,dunfermline-athletic,hi_home,1,5,0,22,2,8,0,,,0.8955436109090141,0.031707290700252196,1.08,21.0,3.573022711822929,0.6260713167928027,,,0.07274909839073371,11.0,,5,1,2.9469513950301263,2.0530486049698737,6,2.2555587974088502,0.8274764512554346,0.11417526432716095,0.05834828441740458,2.2120617118787704,0.825772168048929,0.11519569006690758,0.059032141884163565
9673714,982,League Cup,2021,2021-08-14,Round 2,1,2,dundee-united,ayr-united,lo_home,1,1,1,10,14,6,8,,,0.4743364682162639,0.24497407214478567,2.0,3.75,1.3338345048179525,0.8730732739684962,,,0.28068945963895053,3.3,,0,0,0.4607612308494563,-0.4607612308494563,2,0.01949350122243443,0.37980435217211617,0.24913351547858223,0.3710621323493016,0.4990905493618374,0.49228453366077657,0.23845930311835728,0.2692561632208662
9673715,982,League Cup,2021,2021-08-15,Round 2,1,2,hibernian,kilmarnock,hi_home,1,2,0,12,7,5,3,,,0.6072763037675379,0.15265991915893437,1.5699999999999998,5.75,1.661206335537635,0.6919761585230334,,,0.2400637770735278,3.8,,2,1,0.9692301770146016,1.0307698229853983,4,0.558039371140526,0.5045284692877559,0.23611968181602372,0.2593518488962204,0.7059769766604049,0.5417014195040174,0.2432718608827215,0.21502671961326103
9673716,982,League Cup,2021,2021-08-15,Round 2,1,2,st-johnstone,arbroath,lo_home,1,1,1,22,9,7,4,,,0.6185798358803705,0.12450041753702919,1.55,7.0,1.5063230028538852,0.5127887032614935,,,0.2569197465826003,3.6,,0,0,0.9935342995923917,-0.9935342995923917,4,0.01949350122243443,0.37980435217211617,0.24913351547858223,0.3710621323493016,0.9185478721240842,0.5970139939188666,0.24307315908996452,0.15991284699116895
9673717,982,League Cup,2021,2021-08-15,Round 2,1,2,aberdeen,raith-rovers,lo_home,1,1,2,11,9,1,5,,,0.5630997928590419,0.17165052484888735,1.7,5.25,1.4714249613406958,0.6781665603223271,,,0.26524968229207085,3.5,,-1,-1,0.7932584010183686,-1.7932584010183685,3,0.01949350122243443,0.37980435217211617,0.24913351547858223,0.3710621323493016,1.0880874342694855,0.6266516464698769,0.20190397810886382,0.17144437542125932
