fs,team_id,team,tier,league_fixtures
2009,2373,berwick-rangers,4,46
2009,2381,east-stirlingshire,4,43
2009,2380,elgin-city,4,44
2009,2375,forfar-athletic,4,44
2009,2356,livingston,4,46
2009,2386,montrose,4,43
2009,2379,queens-park-fc,4,43
2009,2371,stranraer,4,47
2010,2355,aberdeen,1,41
2010,2352,celtic,1,44
2010,2349,dundee-united,1,47
2010,2376,hamilton-academical,1,45
2010,2353,heart-of-midlothian,1,42
2010,2354,hibernian,1,43
2010,2362,inverness-caledonian-thistle,1,41
2010,2347,kilmarnock,1,41
2010,2346,motherwell,1,42
2010,2351,rangers,1,44
2010,2348,st-johnstone,1,43
2010,2359,st-mirren,1,41
2010,2372,cowdenbeath,2,47
2010,2357,dundee-fc,2,42
2010,2350,dunfermline-athletic,2,44
2010,2363,falkirk-fc,2,46
2010,2374,greenock-morton,2,43
2010,2358,partick-thistle,2,45
2010,2368,queen-of-the-south,2,47
2010,2361,raith-rovers,2,44
2010,2365,ross-county,2,46
2010,2384,stirling-albion,2,46
2010,2367,airdrieonians,3,42
2010,2369,alloa-athletic,3,42
2010,2364,ayr-united,3,45
2010,2378,brechin-city,3,44
2010,2377,dumbarton,3,46
2010,2382,east-fife,3,46
2010,2375,forfar-athletic,3,47
2010,2356,livingston,3,44
2010,2385,peterhead,3,42
2010,2370,stenhousemuir,3,42
2010,2383,albion-rovers,4,46
2010,23955,annan-athletic,4,43
2010,2366,arbroath,4,43
2010,2373,berwick-rangers,4,43
2010,2360,clyde-fc,4,50
2010,2381,east-stirlingshire,4,46
2010,2380,elgin-city,4,41
2010,2386,montrose,4,43
2010,2379,queens-park-fc,4,46
2010,2371,stranraer,4,41
2011,2355,aberdeen,1,39
2011,2352,celtic,1,38
2011,2349,dundee-united,1,38
2011,2350,dunfermline-athletic,1,40
2011,2353,heart-of-midlothian,1,38
2011,2354,hibernian,1,40
2011,2362,inverness-caledonian-thistle,1,39
2011,2347,kilmarnock,1,40
2011,2346,motherwell,1,40
2011,2351,rangers,1,39
2011,2348,st-johnstone,1,41
2011,2359,st-mirren,1,38
2011,2364,ayr-united,2,39
2011,2357,dundee-fc,2,37
2011,2363,falkirk-fc,2,36
2011,2374,greenock-morton,2,39
2011,2376,hamilton-academical,2,38
2011,2356,livingston,2,37
2011,2358,partick-thistle,2,37
2011,2368,queen-of-the-south,2,36
2011,2361,raith-rovers,2,37
2011,2365,ross-county,2,40
2011,2367,airdrieonians,3,37
2011,2383,albion-rovers,3,40
2011,2366,arbroath,3,40
2011,2378,brechin-city,3,41
2011,2372,cowdenbeath,3,39
2011,2377,dumbarton,3,41
2011,2382,east-fife,3,41
2011,2375,forfar-athletic,3,43
2011,2370,stenhousemuir,3,39
2011,2384,stirling-albion,3,43
2011,2369,alloa-athletic,4,36
2011,23955,annan-athletic,4,37
2011,2373,berwick-rangers,4,39
2011,2360,clyde-fc,4,41
2011,2381,east-stirlingshire,4,36
