contrast,scope,rule,n_obs,n_fixtures,delta,lo,hi,p_better,significant
m05_wealth_grw_negbin − m05_poisson,OU2.5,brier,758,379,-0.0002700040320781319,-0.0008759491410675013,0.00034214685090451096,0.8149,false
m05_wealth_grw_negbin − m05_poisson,OU3.5,brier,528,264,-0.00018505609897525376,-0.0006281758406550497,0.00025251762062020194,0.7998,false
m05_wealth_grw_negbin − m05_poisson,OU4.5,brier,197,104,0.0002992955372948413,-0.0002212916728260007,0.000764861546770375,0.1203,false
m05_wealth_grw_negbin − m05_poisson,BTTS,brier,356,178,0.0002035803278940373,-0.00152098525132415,0.001883274315323495,0.4115,false
m10_lineup_grw_negbin − m10_poisson,all,brier,4054,630,1.7324907253283573e-5,-0.000282843868569832,0.0003089603334973858,0.4524,false
m10_lineup_grw_negbin − m10_poisson,1X2,brier,1785,595,-7.717394640494026e-5,-0.0003118301744695996,0.00016120305925006973,0.7357,false
m10_lineup_grw_negbin − m10_poisson,OU1.5,brier,430,215,0.00030769449070397914,-0.0005749084000284061,0.0011199280747185342,0.2364,false
m10_lineup_grw_negbin − m10_poisson,OU2.5,brier,758,379,-3.1715223858128266e-5,-0.0006692280003840072,0.0006128563376932545,0.5368,false
m10_lineup_grw_negbin − m10_poisson,OU3.5,brier,528,264,-0.00010651121720385528,-0.0006379663155244817,0.00041749412153762916,0.6581,false
m10_lineup_grw_negbin − m10_poisson,OU4.5,brier,197,104,0.0003170026475351771,-0.0001832101277308551,0.0007568026687921688,0.1024,false
m10_lineup_grw_negbin − m10_poisson,BTTS,brier,356,178,0.000262670163310634,-0.0014806528838636488,0.001980795505193559,0.3878,false
m12_joint_hybrid_synergy_negbin − m12_poisson,all,brier,4054,630,5.441785525491694e-5,-0.00022372166326731734,0.00032192178480667426,0.3442,false
m12_joint_hybrid_synergy_negbin − m12_poisson,1X2,brier,1785,595,6.559870432954173e-5,-0.0001243930259942113,0.0002570669097766199,0.2475,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU1.5,brier,430,215,0.00017506602191876501,-0.0007015464351691997,0.0009759750949204664,0.338,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU2.5,brier,758,379,-8.590505883530886e-5,-0.0006872050062289643,0.000499349127237285,0.6113,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU3.5,brier,528,264,3.012363028315396e-6,-0.00043618613170264177,0.0004344648276974384,0.5001,false
m12_joint_hybrid_synergy_negbin − m12_poisson,OU4.5,brier,197,104,0.0003641260722769108,-0.00010919791659588528,0.0007610509619014925,0.0609,false
m12_joint_hybrid_synergy_negbin − m12_poisson,BTTS,brier,356,178,5.626567199380496e-5,-0.0016536440748632058,0.0017427468074047068,0.4802,false
