model,scope,n_obs,logloss,market_logloss,brier,market_brier,ece,market_ece,mce,market_mce,rps,market_rps,likelihood,role
m00_baseline_grw_negbin,all,4054,0.6142719081380243,0.619076062907883,0.2127997827002275,0.21141565678552537,0.011678721005144315,0.010773129258437713,0.1373709264155763,0.1479548278018984,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,1X2,1785,0.6168877804113017,0.6131180107974481,0.21339539801322355,0.21156444032291422,0.012898125620900607,0.018580646181840455,0.0556490927383253,0.32902138777066514,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,OU1.5,430,0.5323776939842267,0.5272811031135427,0.17447817108802605,0.17266435474340952,0.03579002796703941,0.010264241635519814,0.5972087015549656,0.11675878370299309,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,OU2.5,758,0.6870894712277202,0.6898782309589602,0.24699432276432415,0.24829171351414944,0.025422392678754284,0.01829866107755568,0.026553263072833178,0.7079376625841927,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,OU3.5,528,0.620124026233588,0.6104589033548479,0.21367190572909156,0.2098660314894639,0.03115460406299803,0.01484560050373574,0.3736522298455224,0.3265579357351509,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,OU4.5,197,0.3335814508874957,0.5079080647524102,0.09124015724569744,0.09594017917176943,0.09663508805806209,0.09633684951953349,0.3336250037658658,0.3197359059330368,0.22506227691659514,0.2111040320023605,NegBin,ladder
m00_baseline_grw_negbin,BTTS,356,0.6916751917903993,0.6833706365781275,0.2492672645717595,0.2451580767568855,0.014465376663330294,0.03004396402078209,0.08946288142133296,0.07307236039881282,0.22506227691659514,0.2111040320023605,NegBin,ladder
m05_wealth_grw_negbin,all,4054,0.6117342737909289,0.619076062907883,0.2116938464728197,0.21141565678552537,0.014634649566610834,0.010773129258437713,0.10005315270827127,0.1479548278018984,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,1X2,1785,0.6155342081674048,0.6131180107974481,0.2128239993099622,0.21156444032291422,0.011916877828140542,0.018580646181840455,0.042065007654073616,0.32902138777066514,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,OU1.5,430,0.5220871026259015,0.5272811031135427,0.17069654674695212,0.17266435474340952,0.027041339566288347,0.010264241635519814,0.589708962721541,0.11675878370299309,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,OU2.5,758,0.6892985203146423,0.6898782309589602,0.248119435258813,0.24829171351414944,0.030934189378018326,0.01829866107755568,0.725670742160007,0.7079376625841927,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,OU3.5,528,0.6117973641989943,0.6104589033548479,0.2103598842199948,0.2098660314894639,0.03630338683871359,0.01484560050373574,0.18199599864949137,0.3265579357351509,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,OU4.5,197,0.34674262766838343,0.5079080647524102,0.09479882395028066,0.09594017917176943,0.08953540618666397,0.09633684951953349,0.3275363327835492,0.3197359059330368,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m05_wealth_grw_negbin,BTTS,356,0.6823571513882921,0.6833706365781275,0.24465331634493437,0.2451580767568855,0.01918854641837143,0.03004396402078209,0.059828808246641774,0.07307236039881282,0.22378426466546933,0.2111040320023605,Joint Gamma-NegBin,ladder
m10_lineup_grw_negbin,all,4054,0.615019562744927,0.619076062907883,0.213176094526373,0.21141565678552537,0.011793620787727107,0.010773129258437713,0.1961242391014268,0.1479548278018984,0.22620758569720165,0.2111040320023605,NegBin,ladder
m10_lineup_grw_negbin,1X2,1785,0.6185221856759492,0.6131180107974481,0.21412946793671533,0.21156444032291422,0.010447690246478038,0.018580646181840455,0.3856177766996477,0.32902138777066514,0.22620758569720165,0.2111040320023605,NegBin,ladder
