model,subset,n,market_on_model,model_on_market,outcome_on_model,sd_model_sup,sd_market_sup
g1_grw_all_spfl,all,710,1.0995700477103787,0.39038544819146853,0.7340807482279317,0.271720513681312,0.45602333582496124
g1_grw_all_spfl,transition,347,0.82148816712591,0.3358639466056367,0.3202182815080368,0.2709001015266922,0.42367040743410644
g2_grw_all_spfl_cups,all,710,1.2519395093093395,0.40841054404824156,0.8941964256608679,0.2604616979568631,0.45602333582496124
g2_grw_all_spfl_cups,transition,347,1.0471256190419986,0.3733071104142618,0.5230478195339058,0.25296583415846624,0.42367040743410644
g3_grw_joint_all_spfl_cups,all,710,1.104902247730675,0.5956921559516689,0.7161537392873893,0.334839033193441,0.45602333582496124
g3_grw_joint_all_spfl_cups,transition,347,0.9912380706907982,0.6021403019846879,0.5970301046743891,0.3302083047450887,0.42367040743410644
m00_baseline_grw,all,710,1.1899541251622192,0.37406642426481834,0.9434612037470893,0.25567974341448063,0.45602333582496124
m00_baseline_grw,transition,347,0.8896436129837102,0.33678011947326497,0.6060227584839731,0.2606713620292505,0.42367040743410644
m05_joint_grw,all,710,1.2430937975312564,0.5525390795758384,0.7836076107202143,0.30403012448666844,0.45602333582496124
m05_joint_grw,transition,347,1.1157823735326995,0.556175309914972,0.7088508762508434,0.29911916166711067,0.42367040743410644
m12_grw,all,710,1.3278369212443106,0.4809375359405836,0.8579334513129164,0.2744473451294305,0.45602333582496124
m12_grw,transition,347,1.2020458720330862,0.4702990180206051,0.8205229414952872,0.2650053524594275,0.42367040743410644
m12_td,all,710,1.5700508230579462,0.31334235260118504,1.0667471104994628,0.2037228586570708,0.45602333582496124
m12_td,transition,347,1.2005276411701407,0.2984240165969288,0.8698956434645243,0.21123162216103117,0.42367040743410644
