team,mean,sd,q05,q50,q95,p_above_base,fold
annan-athletic,0.15871272255225147,0.07548173696514994,0.05335320364977632,0.14893573824557077,0.29527316203836373,0.68475,1
stranraer,0.1527789173392099,0.07473410592724353,0.04663217781131224,0.14466562098896568,0.28784973525104357,0.66175,1
forfar-athletic,0.14192694223441596,0.07002221619798932,0.038754385280116335,0.13821620019097758,0.2598286260439708,0.6,1
stirling-albion,0.1413553638083407,0.07047581223544958,0.03499383389921801,0.13805784669443205,0.2609939876960926,0.5995,1
elgin-city,0.1385417549958422,0.07045788027808272,0.02994945438821668,0.13477973788043257,0.26012044283790897,0.5885,1
falkirk-fc,0.13841066879814182,0.06849050918655356,0.03232385450257056,0.13497491714763438,0.25369714561602336,0.5885,1
airdrieonians,0.1367938552096602,0.07897010095520984,0.01891234275637681,0.1323746521428048,0.26571784122107883,0.56675,1
queen-of-the-south,0.13657498101241508,0.07005162021812071,0.03077818928743725,0.13331255354544014,0.2551656151238619,0.57925,1
peterhead,0.12989603851702322,0.06866966753589387,0.019338932400542262,0.1280152681263057,0.24864008837309823,0.53725,1
bonnyrigg-rose,0.12968734158023662,0.06842262872155117,0.022262168465622803,0.1279873389496503,0.24371752882157666,0.53675,1
dumbarton,0.1266511428119099,0.06789569425379678,0.01596942553642237,0.12736921322016007,0.23677952311683964,0.52625,1
dunfermline-athletic,0.12494602339867078,0.07879688341402175,-0.0020493870499060387,0.12551759040069116,0.2523388521027282,0.503,1
cove-rangers,0.12325508996947533,0.06886610076181275,0.009990640115595799,0.12312300141150602,0.23860122436809,0.5065,1
montrose,0.1204946064406168,0.06964552036690391,0.004611040480849309,0.12109410721304492,0.23349964080502156,0.48575,1
hamilton-academical,0.1198696400399642,0.06814194164703574,0.010042234103560775,0.12160258243038091,0.226276031722345,0.48275,1
albion-rovers,0.11954704580489561,0.07765985396781387,-0.009084744113447039,0.12186668979975936,0.240820902961081,0.48,1
edinburgh-city-fc,0.11920201861348277,0.06756098991639924,0.005981676467662634,0.12180731353057099,0.22385511753165657,0.484,1
stenhousemuir,0.11783071262367423,0.06780191969573084,0.006313574298308293,0.11867080040586915,0.2259216269593876,0.4705,1
clyde-fc,0.10340773009513363,0.07160719755974665,-0.025305205793469662,0.10918391689805619,0.20992447713602994,0.38975,1
east-fife,0.10057888498335214,0.07446385881615646,-0.034226542384391385,0.108389906169827,0.2081112349410479,0.37,1
alloa-athletic,0.09218786297059378,0.0751091992482092,-0.04756330475166598,0.10102423187060192,0.1994991524394092,0.3275,1
the-spartans-fc,0.0806043337350769,0.0815000635873639,-0.07206752081139663,0.09327023553828567,0.1891050757493331,0.27125,1
kelty-hearts-fc,0.0802269431303644,0.081399577750064,-0.07485442908224652,0.0930167401718912,0.18828795470776669,0.286,1
falkirk-fc,0.14892500999745764,0.06846693491133955,0.049310545888819966,0.14272554120384523,0.2673431799797285,0.594,2
annan-athletic,0.14778021966114913,0.06677393492221821,0.048192089277895436,0.14358506162108883,0.2629323362055077,0.592,2
elgin-city,0.1470759860597676,0.0672043695279594,0.045715546391276805,0.1423729685464341,0.2663538450223163,0.58775,2
stranraer,0.14651379197486192,0.06761030537448857,0.04493054493261783,0.1422266862641697,0.2631615240205832,0.5845,2
queen-of-the-south,0.14319460866529016,0.06625434658893578,0.04223710167593942,0.14073689181945975,0.2578364176113266,0.55775,2
forfar-athletic,0.14011513606221043,0.06619252317154944,0.0400002782452971,0.1376389098121281,0.24937842823371387,0.54925,2
airdrieonians,0.13894565654305757,0.07233778461226605,0.03021378299886317,0.13728127676194712,0.2576374594861185,0.53525,2
dumbarton,0.1377461228973204,0.0646343699246225,0.03592512727426554,0.1370365940390636,0.24268772199789307,0.53125,2
bonnyrigg-rose,0.13769363982988386,0.06468053065329447,0.0354418326796604,0.13682019577944557,0.24139583635803666,0.534,2
peterhead,0.1368786997526202,0.06575471458747399,0.03233625898738298,0.13606474629954834,0.2441983130698758,0.5245,2
inverness-caledonian-thistle,0.13564971847251717,0.06818876897539419,0.02937373493589136,0.13415470329360815,0.2473688645092808,0.50875,2
hamilton-academical,0.13476062526475102,0.06651788516173247,0.02985326611468779,0.13403485789690567,0.2436107430780347,0.50675,2
stirling-albion,0.1346988936808899,0.06451992594647227,0.02692706966781361,0.1340472101549951,0.23689063421918533,0.505,2
dunfermline-athletic,0.1337889369654646,0.07255619058597673,0.016412850339809805,0.13323256242608483,0.25112717618652064,0.50225,2
albion-rovers,0.131780774393408,0.07168627897118382,0.017155271211924405,0.13181270131788192,0.24722990696352323,0.496,2
montrose,0.13147253894398978,0.06771461207021551,0.022562092745476357,0.13157476572563997,0.2395669532509761,0.493,2
edinburgh-city-fc,0.13098943792847706,0.06552303945143487,0.025270575914841522,0.13227732651068697,0.23688023821585374,0.48075,2
stenhousemuir,0.130566252787109,0.0642175812686257,0.022761426205724754,0.13187417678090985,0.2348057658283411,0.48875,2
arbroath,0.12988142392294144,0.07006185434359956,0.01382973037966143,0.13017118528967797,0.24244096327976916,0.47875,2
cove-rangers,0.1279471726728389,0.06666964615289753,0.015926419111362018,0.13049440026142567,0.2317780974677497,0.46625,2
clyde-fc,0.1259200471763162,0.06770099105581964,0.011829866859358999,0.1273470134819602,0.23094584162884443,0.453,2
east-fife,0.11785290685648221,0.06800909336366451,-0.0018683850976474745,0.12153882485610863,0.21898396996307415,0.4045,2
