model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,max_ha_rhat,n_unmapped_home,gate_pass,reused
m05_joint_production_wealth_hier_ha,40,710,2000,1.0081261108427724,18,920.5417593979147,652.0032629573664,4,160000,2.5e-5,0.0,0.6431189441327095,true,true,,6.713179632027944,6117c711-a9f9-4539-a36c-40d6ddb6593c,1.0070222533514361,3,true,false
m12_joint_hybrid_synergy_hier_ha,40,710,2000,1.009711416205239,1,1070.8496396393198,835.0024622212665,0,160000,0.0,0.0,0.6817347404213202,true,true,,8.544569249947866,87c1052d-a181-434c-a965-3c8c801f4142,1.009711416205239,3,true,false
m12_joint_hybrid_synergy_grw_hier_ha,40,710,2000,1.0105534928545619,2,716.1895821957196,438.8431731470549,0,160000,0.0,0.0,0.5528389601745569,true,false,,47.95134754975637,744cf6bd-0441-462c-8bd1-2a5169d70b4b,1.0105534928545619,3,true,false
