team,mean,sd,q05,q50,q95,p_above_base,fold
airdrieonians,0.27480117129832915,0.1281399907756937,0.084178840516589,0.26510063601047196,0.5040453384478034,0.9045,1
stranraer,0.2482169546977691,0.09537326446598422,0.10491566858907557,0.24226674207798088,0.4153541738179106,0.9305,1
annan-athletic,0.2431752420276744,0.09226111015902927,0.09832154283336243,0.23984941945894192,0.4042515169878267,0.92625,1
stirling-albion,0.24049017668879105,0.09561237148356082,0.09424974986631227,0.23406258338880742,0.4040098587615372,0.905,1
queen-of-the-south,0.17411731579759243,0.08479584511664334,0.040509228703327425,0.1704606970783471,0.3165930334521638,0.74075,1
elgin-city,0.1621712590958283,0.08607283963812402,0.025310849668533694,0.16001073755761994,0.30651212980564096,0.69175,1
forfar-athletic,0.1588381832795117,0.0859054089899593,0.021021725297262435,0.1579927922533404,0.30181448325102017,0.665,1
bonnyrigg-rose,0.14209745232589568,0.08452342017450667,0.004323363010199886,0.1405729622406072,0.2883967085246668,0.59925,1
cove-rangers,0.1289637726560444,0.08768457685540691,-0.017075291294645217,0.1287553830138219,0.27151967271901545,0.53975,1
montrose,0.1262292369325761,0.08523791403520674,-0.018749389436887823,0.1261515095336425,0.2649265163459343,0.53375,1
dunfermline-athletic,0.1232611322592022,0.10921247263250676,-0.057197916021098735,0.12421360831353298,0.30231881473593425,0.5115,1
dumbarton,0.11544872874429962,0.08177636584316215,-0.018164891837617027,0.11420371398060518,0.24985654227522913,0.47825,1
stenhousemuir,0.10353553746918641,0.08196251272653335,-0.03066188350516265,0.10270323997116723,0.23977341472628047,0.40925,1
edinburgh-city-fc,0.09840386896430732,0.08648795638074612,-0.044868338064143844,0.09927930225422973,0.24062411756006793,0.396,1
peterhead,0.09233757410112499,0.08454569926012603,-0.048267528007801395,0.09442551167447302,0.2307429758948838,0.37525,1
falkirk-fc,0.09140176990827518,0.0810045061096044,-0.045066754219789514,0.09254249304103043,0.22122770507272402,0.35875,1
hamilton-academical,0.0696562592034245,0.090684163632323,-0.08547656419770622,0.07416967562176482,0.21283456628987965,0.29575,1
alloa-athletic,0.05921311765930623,0.08778759041559443,-0.08615213964245981,0.06203936561620973,0.19855626187071174,0.24575,1
albion-rovers,0.05602894537745202,0.11208395971367721,-0.14498098295306872,0.06425906515608751,0.22642519483484141,0.28225,1
east-fife,0.04337528457530836,0.0895379333423411,-0.11119694521752202,0.04634888311343768,0.18390017341914627,0.1955,1
clyde-fc,0.031776022145043666,0.09103490073543244,-0.12338387149193693,0.03464391863782636,0.17597634336497953,0.16225,1
kelty-hearts-fc,-0.029723214535255563,0.09647362314753928,-0.1971556065314945,-0.022623172142254178,0.11814909745675371,0.04175,1
the-spartans-fc,-0.03068763697072721,0.1082672523042585,-0.21460116928100667,-0.024940859802154422,0.13214097836490127,0.0625,1
airdrieonians,0.25668995377669496,0.11988089831460093,0.08711130930465451,0.24439900078805854,0.47196209183821225,0.885,2
stranraer,0.232515317951225,0.09164925951261739,0.09711099824224736,0.2252447262808214,0.3873615393263628,0.90025,2
annan-athletic,0.2204158575462892,0.08668168842671141,0.09352109896963351,0.2155855632783315,0.37471592268754184,0.883,2
stirling-albion,0.20557729416613954,0.08595166858246474,0.07654279416860323,0.19927319633033203,0.35248376174916085,0.83325,2
queen-of-the-south,0.17944237403977484,0.08102012885901771,0.054843903795183585,0.17362146532112188,0.31713799527258263,0.747,2
elgin-city,0.17232977483877773,0.07978476922329174,0.04848733020373491,0.16680529402739547,0.30945298726368226,0.73175,2
forfar-athletic,0.1460235101156472,0.07767894470759026,0.019482468041378997,0.14251140567307227,0.27736346521277544,0.60725,2
bonnyrigg-rose,0.13964583277078493,0.07587985211058865,0.018330924585187675,0.13630355895336466,0.26625057036256744,0.575,2
montrose,0.13596445997926643,0.07871799674162562,0.008942123638199706,0.1334921648882748,0.2676160330156787,0.55625,2
inverness-caledonian-thistle,0.1332695942665132,0.11464781280622649,-0.051846323986593855,0.13029794796142774,0.32161383234007196,0.52475,2
dunfermline-athletic,0.13151025967089217,0.09634657014188037,-0.024413573392962795,0.129284985018157,0.293313499741396,0.53675,2
dumbarton,0.12374654026195796,0.07641790366314732,-0.0005274261380479598,0.12418320145348678,0.2502076529921518,0.50125,2
arbroath,0.12125266251615924,0.10618722473845964,-0.05411104162432696,0.12155864049320309,0.29711336115603315,0.48675,2
cove-rangers,0.114683650956017,0.08115394045221953,-0.023345319478514173,0.11617251474669055,0.247392379947026,0.45525,2
edinburgh-city-fc,0.1133658499156181,0.07599253670890516,-0.011601242463759844,0.11334904228574098,0.23736087329707606,0.43825,2
stenhousemuir,0.10769889576078767,0.07531925125318907,-0.016292939389852327,0.11072127858613218,0.226701381186483,0.41175,2
