model,fold,n_target,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density,tape_vs_baseline,tape_vs_five_strike,grad_ratio_vs_five_strike
m05_joint_grw_baseline,1,0,101,791,0.085198,128752,0.0,3.971306600342031e-16,0.0,-3128.4751424875203,0,-52,0.4955129435439312
m05_joint_grw_baseline,2,1,161,1365,0.105035,132992,0.0,5.726179901825412e-16,0.0,-4302.563154453749,0,-52,0.5510957905064718
m05_joint_grw_smile_supremacy_w040,1,0,108,843,0.171939,395120,0.0,3.602676000716764e-16,0.0,-8248.0300817678,52,0,1.0
m05_joint_grw_smile_supremacy_w040,2,1,168,1417,0.190593,407296,0.0,1.5504686590916283e-16,0.0,-15260.06572554272,52,0,1.0
m05_joint_grw_smile_spine_w020,1,0,104,844,0.168152,487824,0.0,3.0370301671401186e-16,0.0,-6454.6718069342805,53,1,0.9779747468578972
m05_joint_grw_smile_spine_w020,2,1,164,1418,0.190744,502688,0.0,5.77964277770168e-16,0.0,-4907.887934554157,53,1,1.0007922641440137
m05_joint_grw_smile_spine_w040,1,0,104,844,0.164375,487824,0.0,3.152687084159456e-16,0.0,-9268.20706424984,53,1,0.9560076538772471
m05_joint_grw_smile_spine_w040,2,1,164,1418,0.187308,502688,0.0,6.873417128118983e-16,0.0,-6335.255310170181,53,1,0.9827643197808943
