model,fixture,n_identity,max_draw_cdf_gap,max_mean_cdf_gap,max_mass_gap,min_cell,max_diag_spread,Δp_home,Δp_draw,Δp_away,Δp_under25
m05_joint_grw_smile_spine_w020,12477128,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.0075985244395501e-14,3.40704803363208e-16,-0.0037470155660423443,0.007155432391233896,-0.0034083360192864176,0.0
m05_joint_grw_smile_spine_w020,12477134,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,2.5693679677578676e-14,3.421118812383217e-16,-0.0025631325415965134,0.005229570854406673,-0.002666359477577651,0.0
m05_joint_grw_smile_spine_w020,12477131,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,9.987331582950307e-14,3.4683949367624074e-16,-0.0009395363750464569,0.002720112801042146,-0.0017803220025433553,0.0
m05_joint_grw_smile_spine_w020,12477135,0,3.3306690738754696e-16,1.3877787807814457e-17,6.661338147750939e-16,2.6927679644584755e-14,3.430575949009569e-16,-0.0025163348228177673,0.00519959130807135,-0.002683161874811546,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12477132,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.0583730350680936e-14,3.428275403921826e-16,-0.003059735479729764,0.0061271548150627075,-0.003067360563851318,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476800,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,5.567177788588096e-14,3.4326128682972766e-16,-0.0020616781505682358,0.004132762681211155,-0.0020709893160291704,0.0
m05_joint_grw_smile_spine_w020,12476794,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,3.840100462179745e-14,3.433736126682935e-16,-0.0020252932400918744,0.00443588534950784,-0.002410448405051613,0.0
m05_joint_grw_smile_spine_w020,12476797,0,3.3306690738754696e-16,5.551115123125783e-17,6.661338147750939e-16,1.1001344304152483e-14,3.4110035806020054e-16,-0.0032463087462030193,0.006479182600399924,-0.0032328161712017467,5.551115123125783e-17
m05_joint_grw_smile_spine_w020,12476799,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,1.9594371050009036e-14,3.4311646467555496e-16,-0.0029816293616119482,0.005983871922774664,-0.0030021712260107636,0.0
m05_joint_grw_smile_spine_w020,12476798,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.8205956643407855e-14,3.4315766982110007e-16,-0.002678604844837895,0.00546851429575973,-0.002789807495590768,0.0
m05_joint_grw_smile_spine_w020,12477129,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,3.4635288517742205e-14,3.451870739749431e-16,-0.002432786077999627,0.004065338207031977,-0.001632109413078342,5.551115123125783e-17
