model,fold,n_train,supremacy_observed,supremacy_share,smile_matches,smile_share,smile_per_strike
m05_joint_grw_smile_spine_w020,1,720,719,0.9986111111111111,705,0.9791666666666666,641/641/698/641/641
m05_joint_grw_smile_spine_w020,2,740,739,0.9986486486486487,725,0.9797297297297297,660/660/718/660/660
m05_joint_grw_smile_spine_w040,1,720,719,0.9986111111111111,705,0.9791666666666666,641/641/698/641/641
m05_joint_grw_smile_spine_w040,2,740,739,0.9986486486486487,725,0.9797297297297297,660/660/718/660/660
