model,config,rep,warmup,retained,delta,max_depth,n_chains,n_draws,n_params,wall_s,core_s,mean_concurrency,max_rhat,worst_rhat_param,min_ess_bulk,worst_bulk_param,min_ess_tail,worst_tail_param,min_ess,ess_per_wall_s,ess_per_core_s,ess_per_draw,n_divergent,n_transitions,divergence_rate,max_tree_depth,n_depth_capped,treedepth_rate,min_bfmi,mean_tree_depth,mean_leapfrog,total_leapfrog,step_size_min,step_size_max,mean_acceptance,gate_rhat,gate_ess400,gate_ess200,gate_div0,gate_bfmi,gate_depth,pass_strict,pass_production
m00_recombined_control,B,1,500,500,0.95,10,4,500,97,24.390907049179077,95.75969338417053,15.4947087113875,1.0140279566273698,raw_defence[20],948.3305301003875,sigma_regular_raw[1],933.9451036441334,raw_attack[18],933.9451036441334,38.29070816271948,9.753008501158362,0.4669725518220667,0,2000,0.0,6,0,0.0,0.7650319387606109,4.822,29.8,59600,0.1820711790257383,0.19408299488153827,0.9487527356466459,true,true,true,true,true,true,true,true
m00_recombined_control,B,2,500,500,0.95,10,4,500,97,25.129040002822876,94.73579216003418,15.375222000959145,1.0090593062405513,conversion_raw[1],840.8596678691256,sigma_regular_raw[1],788.5368112194357,mu_regular[1],788.5368112194357,31.379503997401223,8.323536366143276,0.3942684056097178,0,2000,0.0,7,0,0.0,0.8136759175622273,4.472,27.264,54528,0.16761641071171585,0.21821780733025112,0.9432955188728744,true,true,true,true,true,true,true,true
m00_recombined_control,B,3,500,500,0.95,10,4,500,97,24.633933067321777,90.87977123260498,15.670657223245406,1.0077803989671479,raw_referee[34],903.9309086929082,sigma_regular_raw[1],962.5844554583498,sigma_referee_raw[1],903.9309086929082,36.694542695336814,9.946447888599048,0.45196545434645413,1,2000,0.0005,7,0,0.0,0.7788572766130649,4.5445,25.382,50764,0.1471916028166482,0.2282628753028146,0.9523683597323581,true,true,true,false,true,true,false,false
m00_recombined_control,B,4,500,500,0.95,10,4,500,97,24.12777614593506,95.57370114326477,15.554626559685168,1.012527094625595,raw_attack[7],1000.938103002013,sigma_regular_raw[1],1046.7289369299235,sigma_referee_raw[1],1000.938103002013,41.48488849315881,10.472944869024262,0.5004690515010065,0,2000,0.0,6,0,0.0,0.7894475770152859,4.85,30.96,61920,0.11858127051352224,0.20074927055736036,0.9659363824862105,true,true,true,true,true,true,true,true
