arm,n_legs,risk,net_pnl,n_away,away_risk,away_net,n_away_on_turf,away_risk_on_turf
flat_raw,19,124.28148496179239,-84.27177168405225,7,54.7687657868076,-54.7687657868076,6,45.66204252680439
flat_optB,15,73.78014300971279,-54.52442716720605,7,28.171826025821733,-28.171826025821733,6,23.809457476343262
ctx_raw,18,122.93672680462926,-79.20044656164657,7,54.493621108818694,-54.493621108818694,6,45.11867698774553
ctx_optB,14,72.0781294275599,-52.605118692681124,7,27.09542551669253,-27.09542551669253,6,22.753600438050174
