model,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,n_bets_1x2,n_bets_totals,capture_ratio,run_id
m05_joint_grw_baseline,632,100,1247,385.77757677304226,150.01743292434026,0.015805806721928422,-0.0003705992042185303,0.03232579811669041,11.676122043521175,0.98375,1.4527253832777605,9.041681782277903,-42.66657310691728,35.20449077786688,4.125058211449413,0.16632412452063444,986,261,1.079948560365559,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
m05_joint_grw_supremacy_w040,632,100,1244,404.5723663171682,155.58081179642667,0.016185410851782028,0.00072482358183669,0.032071418121355486,12.751194815133763,0.99225,1.550550898847814,9.487622224388927,-42.64212431194536,36.4951768488746,3.7552124199705474,0.15304215012310587,983,261,1.0696149297792785,0ee58d18-b7e9-4168-8d78-93887b1a8c26
m05_joint_grw_smile_supremacy_w020,632,100,1240,588.421873055331,206.02451191708306,0.01929231651602988,-0.0002899714249227831,0.03899775631219522,15.707413913401693,0.99575,1.4945381105902102,13.367251483612224,-44.01966056946826,33.95161290322581,3.757525703823644,0.15535215656466964,988,252,0.9813783068111814,fcd5e974-9a46-4a10-9828-6b987a5484d6
m05_joint_grw_smile_supremacy_w040,632,100,1237,545.0097874045468,194.68342091184005,0.01864095304963169,0.0003639309854983053,0.03755112643779103,15.817992802173645,0.99475,1.515921146794607,12.377251952257662,-44.03318196210224,33.95311236863379,3.5281414323997202,0.14713022922911514,984,253,1.0002749794154562,30620d3e-e4bd-4c05-b1a1-85cefa36b728
m05_joint_grw_smile_supremacy_w070,632,100,1231,481.38248054762187,177.46353225495773,0.017602386684656454,0.000632599299655505,0.03542593246959542,15.479001666370259,0.99275,1.5303028022241143,11.36229762633203,-42.366649455830306,35.01218521527213,3.308968669934599,0.1398753751718718,978,253,0.9730682765738251,32d588f1-d666-4112-a7e1-5c9545fbbe3d
