model,n_totals_bets,max_abs_vs_smile,min_abs_vs_grid
m05_joint_grw_smile_supremacy_w020,252,1.4432899320127035e-15,6.20688043184714e-5
m05_joint_grw_smile_supremacy_w040,253,1.7763568394002505e-15,0.00012926842063659683
m05_joint_grw_smile_supremacy_w070,253,1.7763568394002505e-15,1.95564819406302e-5
