model,fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
m05_joint_production_wealth_hier_ha,1,0.12276082569066203,0.04023378208968891,0.05741857582401388,0.18919791274871559,0.05813011647063806,0.040275388092922026,0.005147317438770406,0.051674593459135304,0.13350914288390212,0.19525,0.15851941887820598
m05_joint_production_wealth_hier_ha,2,0.1334703230387808,0.04402226108996503,0.0617456300347744,0.20576983593916812,0.04685334439574306,0.03581186703386116,0.0037646918851033675,0.03980616401769102,0.11832534526829529,0.26475,0.15851941887820598
m12_joint_hybrid_synergy_hier_ha,1,0.11467009973851615,0.04035211115973819,0.049001215686216446,0.18112266107065922,0.05055351495602786,0.03589904335132484,0.0042445474699092075,0.04500888059213884,0.11671892067930698,0.23225,0.15851941887820598
m12_joint_hybrid_synergy_hier_ha,2,0.12614716774429915,0.04607494499052779,0.04974680218992738,0.20081805315575152,0.03905675413790662,0.029626900581086787,0.003146868774335222,0.03283848890231167,0.09491028144951574,0.31525,0.15851941887820598
m12_joint_hybrid_synergy_grw_hier_ha,1,0.12036212810452997,0.03695226273416052,0.061256804641474406,0.18141891129755897,0.11487550658274498,0.0410822472622304,0.042847417950853686,0.11504658165995651,0.18141762924810112,0.0145,0.15851941887820598
m12_joint_hybrid_synergy_grw_hier_ha,2,0.12445880412139465,0.035879979495069096,0.0655811819154781,0.1843227529249141,0.10182580958893589,0.039522128485269876,0.034131049109281254,0.10287048137460364,0.16645992761186867,0.0275,0.15851941887820598
