fixture,p_under_ref,p_under_typed,p_under_legacy,p_under_grid,smile_shift
12477128,0.48908488383930754,0.48908488383930765,0.48908488383930765,0.4817933549356637,0.007291528903643818
12477134,0.45672118510882137,0.45672118510882176,0.45672118510882176,0.4493820293591359,0.0073391557496854665
12477131,0.40701984667741115,0.40701984667741103,0.40701984667741103,0.3997041169227327,0.007315729754678424
12477135,0.4546559547745764,0.4546559547745757,0.4546559547745757,0.4473146881610139,0.0073412666135624915
12477132,0.4737747045858055,0.47377470458580523,0.47377470458580523,0.46645465443756584,0.007320050148239665
12476800,0.43596015262471033,0.435960152624711,0.435960152624711,0.42861582513074875,0.007344327493961578
12476794,0.44010139140760374,0.44010139140760374,0.44010139140760374,0.43275710602793793,0.007344285379665805
12476797,0.47907545970043613,0.4790754597004354,0.4790754597004354,0.4717642281687313,0.00731123153170482
12476799,0.4700755923189233,0.4700755923189232,0.4700755923189232,0.4627500109175794,0.007325581401343928
12476798,0.45997879370382155,0.45997879370382255,0.45997879370382255,0.452642186759967,0.007336606943854573
12477129,0.42598056218686,0.4259805621868592,0.4259805621868592,0.41864217465880504,0.007338387528054935
12477126,0.5175804574281261,0.517580457428125,0.517580457428125,0.5103735404279612,0.0072069170001648475
