fold,n_train,supremacy_observed,supremacy_share,smile_matches,smile_share,smile_per_strike
1,720,719,0.9986111111111111,705,0.9791666666666666,641/641/698/641/641
2,740,739,0.9986486486486487,725,0.9797297297297297,660/660/718/660/660
3,759,758,0.9986824769433466,744,0.9802371541501976,679/679/737/679/679
4,769,768,0.9986996098829649,754,0.9804941482444733,689/689/747/689/689
5,789,788,0.9987325728770595,774,0.9809885931558935,709/709/767/709/709
6,809,808,0.9987639060568603,794,0.9814585908529048,729/729/787/729/729
7,820,819,0.998780487804878,805,0.9817073170731707,739/739/798/739/739
8,835,834,0.9988023952095808,820,0.9820359281437125,754/754/813/754/754
9,855,854,0.9988304093567252,840,0.9824561403508771,774/774/833/774/774
10,857,856,0.9988331388564761,842,0.9824970828471412,776/776/835/776/776
11,879,878,0.9988623435722411,864,0.9829351535836177,798/798/857/798/798
12,901,900,0.9988901220865705,886,0.9833518312985572,820/820/879/820/820
13,915,914,0.9989071038251366,900,0.9836065573770492,834/834/893/834/834
14,931,930,0.9989258861439313,916,0.9838882921589689,850/850/909/850/850
15,953,952,0.9989506820566632,938,0.9842602308499475,872/872/931/872/872
16,973,972,0.998972250770812,957,0.9835560123329907,891/891/950/891/891
17,997,996,0.9989969909729187,981,0.9839518555667001,915/915/974/915/915
18,1020,1019,0.9990196078431373,1004,0.984313725490196,938/938/997/938/938
19,1040,1039,0.9990384615384615,1024,0.9846153846153847,958/958/1017/958/958
20,1060,1059,0.9990566037735849,1044,0.9849056603773585,978/978/1037/978/978
21,720,719,0.9986111111111111,707,0.9819444444444444,697/697/707/697/697
22,740,738,0.9972972972972973,726,0.981081081081081,716/716/726/716/716
23,759,757,0.997364953886693,745,0.9815546772068511,735/735/745/735/735
24,769,767,0.9973992197659298,755,0.9817945383615084,745/745/755/745/745
25,789,787,0.9974651457541192,775,0.982256020278834,765/765/775/765/765
26,809,807,0.9975278121137207,795,0.9826946847960445,785/785/795/785/785
27,820,818,0.9975609756097561,806,0.9829268292682927,796/796/806/796/796
28,835,833,0.9976047904191617,821,0.9832335329341317,811/811/821/811/811
29,854,852,0.9976580796252927,840,0.9836065573770492,830/830/840/830/830
30,865,863,0.9976878612716763,851,0.9838150289017341,841/841/851/841/841
31,884,882,0.997737556561086,870,0.9841628959276018,860/860/870/860/860
32,904,902,0.9977876106194691,890,0.9845132743362832,880/880/890/880/880
33,914,912,0.9978118161925602,900,0.9846827133479212,890/890/900/890/890
34,927,925,0.9978425026968716,913,0.9848975188781014,903/903/913/903/903
35,943,941,0.9978791092258749,928,0.9840933191940615,918/918/928/918/918
36,967,965,0.9979317476732161,952,0.984488107549121,942/942/952/942/942
37,993,991,0.9979859013091642,978,0.9848942598187311,968/968/978/968/968
38,1018,1016,0.9980353634577603,1003,0.9852652259332023,993/993/1003/993/993
39,1038,1036,0.9980732177263969,1023,0.9855491329479769,1013/1013/1023/1013/1013
40,1060,1058,0.9981132075471698,1045,0.9858490566037735,1034/1034/1045/1034/1034
41,710,709,0.9985915492957746,707,0.995774647887324,703/703/707/703/703
42,730,729,0.9986301369863013,727,0.9958904109589041,723/723/727/723/723
43,749,748,0.9986648865153538,746,0.9959946595460614,742/742/746/742/742
