model,folds,oos,draws,max_rhat,worst_rhat_fold,min_ess_bulk,min_ess_tail,n_divergent,n_transitions,divergence_rate,treedepth_rate,min_bfmi,passed,strict_rhat_pass,failures,wall_min,run_id,σ_sup_median,σ_sup_q05,σ_sup_q95,σ_smile_median,σ_smile_q05,σ_smile_q95,κ_median,φ_median,gate_pass,reused
m05_joint_grw_supremacy_w040,43,769,2000,1.0104559020069652,14,814.4042972315646,515.7223024162818,0,172000,0.0,1.1627906976744185e-5,0.6826620175746884,true,false,,60.51275741656621,0ee58d18-b7e9-4168-8d78-93887b1a8c26,0.21180534658433592,0.19358653348136226,0.2315150175117695,NaN,NaN,NaN,1.1053699569143163,,true,false
m05_joint_grw_smile_supremacy_w020,43,769,2000,1.0139317473037894,34,472.48072017859494,498.4446661762096,0,172000,0.0,5.813953488372093e-6,0.6233380529690804,true,false,,158.40523918072384,fcd5e974-9a46-4a10-9828-6b987a5484d6,0.23650391386823716,0.212797396207594,0.2635764942829053,0.051809342956643814,0.04890891335088763,0.05501873197267256,1.1160789428187319,0.844/0.976/1.001/1.026/1.069,true,false
m05_joint_grw_smile_supremacy_w040,43,769,2000,1.0200331199623467,39,431.1185488492335,696.2146983075903,0,172000,0.0,0.0,0.6650357338552221,true,false,,185.3756942152977,30620d3e-e4bd-4c05-b1a1-85cefa36b728,0.2200943781113835,0.20207591562447236,0.23957328322184626,0.050148410310977436,0.04774296852226545,0.053146521858744356,1.114878040461255,0.843/0.976/1.001/1.026/1.069,true,false
m05_joint_grw_smile_supremacy_w070,43,769,4000,1.0201344200742022,29,312.06106764059575,632.8013138170464,0,172000,0.0,2.325581395348837e-5,0.6804655546213234,false,false,min bulk ESS 312.1 at fold 29 (gate > 400),266.24725116491317,,0.2101356433779284,0.1938659133415297,0.22683752449818023,0.049225981517052306,0.0469275618231908,0.052296479366116894,1.1135369078904125,0.844/0.976/1.001/1.026/1.069,false,false
