fixture,p_under_ref,p_under_typed,p_under_legacy,p_under_grid,smile_shift
12477128,0.4898143300038722,0.48981433000387165,0.48981433000387165,0.48254576838368857,0.007268561620183633
12477134,0.45634340315305644,0.45634340315305727,0.45634340315305727,0.4490239789632377,0.007319424189818735
12477131,0.40581672405548114,0.4058167240554819,0.4058167240554819,0.39852219069600375,0.007294533359477384
12477135,0.4543752120536155,0.45437521205361575,0.45437521205361575,0.4470545259604511,0.007320686093164386
12477132,0.4754701094724451,0.4754701094724455,0.4754701094724455,0.4681739077981028,0.007296201674342306
12476800,0.4371487678548191,0.43714876785481865,0.43714876785481865,0.42982396608591544,0.007324801768903655
12476794,0.4398080157117767,0.4398080157117765,0.4398080157117765,0.43248342095913883,0.0073245947526378585
12476797,0.47803133318074853,0.4780313331807488,0.4780313331807488,0.4707399922457157,0.0072913409350328084
12476799,0.47067262401275056,0.4706726240127501,0.4706726240127501,0.463368515025847,0.007304108986903535
12476798,0.4612596222788022,0.4612596222788017,0.4612596222788017,0.45394426509989705,0.007315357178905135
12477129,0.4295286098410545,0.4295286098410546,0.4295286098410546,0.4222072114576443,0.007321398383410227
12477126,0.5176770429814431,0.5176770429814432,0.5176770429814432,0.5104934800475603,0.007183562933882781
