fold,n_train,supremacy_observed,supremacy_share,smile_matches,smile_share,smile_per_strike
1,720,719,0.9986111111111111,0,0.0,
2,740,739,0.9986486486486487,0,0.0,
3,759,758,0.9986824769433466,0,0.0,
4,769,768,0.9986996098829649,0,0.0,
5,789,788,0.9987325728770595,0,0.0,
6,809,808,0.9987639060568603,0,0.0,
7,820,819,0.998780487804878,0,0.0,
8,835,834,0.9988023952095808,0,0.0,
9,855,854,0.9988304093567252,0,0.0,
10,857,856,0.9988331388564761,0,0.0,
11,879,878,0.9988623435722411,0,0.0,
12,901,900,0.9988901220865705,0,0.0,
13,915,914,0.9989071038251366,0,0.0,
14,931,930,0.9989258861439313,0,0.0,
15,953,952,0.9989506820566632,0,0.0,
16,973,972,0.998972250770812,0,0.0,
17,997,996,0.9989969909729187,0,0.0,
18,1020,1019,0.9990196078431373,0,0.0,
19,1040,1039,0.9990384615384615,0,0.0,
20,1060,1059,0.9990566037735849,0,0.0,
21,720,719,0.9986111111111111,0,0.0,
22,740,738,0.9972972972972973,0,0.0,
23,759,757,0.997364953886693,0,0.0,
24,769,767,0.9973992197659298,0,0.0,
25,789,787,0.9974651457541192,0,0.0,
26,809,807,0.9975278121137207,0,0.0,
27,820,818,0.9975609756097561,0,0.0,
28,835,833,0.9976047904191617,0,0.0,
29,854,852,0.9976580796252927,0,0.0,
30,865,863,0.9976878612716763,0,0.0,
31,884,882,0.997737556561086,0,0.0,
32,904,902,0.9977876106194691,0,0.0,
33,914,912,0.9978118161925602,0,0.0,
34,927,925,0.9978425026968716,0,0.0,
35,943,941,0.9978791092258749,0,0.0,
36,967,965,0.9979317476732161,0,0.0,
37,993,991,0.9979859013091642,0,0.0,
38,1018,1016,0.9980353634577603,0,0.0,
39,1038,1036,0.9980732177263969,0,0.0,
40,1060,1058,0.9981132075471698,0,0.0,
41,710,709,0.9985915492957746,0,0.0,
42,730,729,0.9986301369863013,0,0.0,
43,749,748,0.9986648865153538,0,0.0,
