sample,N,intercept,intercept_se,slope,slope_se,mean_p,realised,brier
cross-tier: higher-tier win,403,0.06206186909153483,0.1279044001963934,1.3042056930642727,0.18045390008723577,0.6166654660630276,0.6501240694789082,0.19119848522847255
cross-tier: lower-tier win (upset),403,0.17289316185696946,0.27521987116258445,1.1424747789719267,0.19654534070225496,0.18905915105434962,0.18858560794044665,0.13613666689606932
cross-tier: draw,403,0.552590379561221,0.6007962145819965,1.592344773007332,0.45006773443264303,0.19427538288262272,0.16129032258064516,0.1315817234577318
league: home win,3817,-0.0017400081465601225,0.037497984240853544,1.0225507382599277,0.05340724232054454,0.4281788771484975,0.4265129682997118,0.21665068729780002
league: away win,3817,-0.06573453216565252,0.05117271564027366,0.9842583147104313,0.054015678905111705,0.3232703007163909,0.31254912234739324,0.19263654032466937
league: draw,3817,0.1076216174374815,0.17896044163985808,1.0382980197577194,0.16104397885911553,0.2485508221351116,0.26093790935289496,0.1907111302993712
