window,spec,move,to,n,d_theta_mean,d_theta_sd,d_a_mean,d_a_sd,d_d_mean,d_d_sd,own_theta_change
long,main σc=1.0 σs=0.20,promoted,T1,22,-0.2416711608357303,0.3682687353672844,-0.09849534227260787,0.1974527146565618,0.14317581856312228,0.20107176662420426,-0.14038066796017495
long,main σc=1.0 σs=0.20,promoted,T2,28,-0.18585657999342173,0.493246031704739,-0.0741610827564859,0.23650001555708572,0.11169549723693588,0.29047823722927146,-0.0860577565842453
long,main σc=1.0 σs=0.20,promoted,T3,28,0.01607225085464559,0.47132741400714945,-0.0237449397437355,0.21033605705836445,-0.039817190598381104,0.3081318782536132,-0.07453390953584663
long,main σc=1.0 σs=0.20,relegated,T2,21,0.37910446443388174,0.4129579729485831,0.18482177435708183,0.21290867865642218,-0.1942826900767997,0.23380048982173027,0.2257632146684046
long,main σc=1.0 σs=0.20,relegated,T3,26,0.34403613091548546,0.42906626712874485,0.14334394869965753,0.19682214220163122,-0.20069218221582796,0.25957436950102974,0.1375288186275789
long,main σc=1.0 σs=0.20,relegated,T4,30,0.16282514415960192,0.39994543570907215,0.06965528206779203,0.20122426744383407,-0.09316986209180984,0.243140414901149,0.12881677826293167
primary,independent σc=0.01 σs=1.0,promoted,T1,5,-0.32493095119254656,0.27815919997382993,-0.17087205690738388,0.19675870372598464,0.15405889428516256,0.23769981050047206,-0.7564054605643943
primary,independent σc=0.01 σs=1.0,promoted,T2,7,0.02968104535848303,0.43376140645115563,0.056509616071996095,0.24977161410801538,0.026828570713513078,0.2422946867006127,-0.14539325561317623
primary,independent σc=0.01 σs=1.0,promoted,T3,9,-0.17399039629202598,0.2709868401554196,-0.005110458613075371,0.22841387693361095,0.1688799376789506,0.192643398792449,-0.3375751061807029
primary,independent σc=0.01 σs=1.0,relegated,T2,5,0.5962860044597899,0.5281756922917373,0.24945981729371453,0.22523717128551904,-0.34682618716607533,0.32854015956906407,0.619725111359225
primary,independent σc=0.01 σs=1.0,relegated,T3,9,0.34439250902389534,0.42633526896049434,0.1728873848272877,0.22207935020129396,-0.1715051241966077,0.30179628318299234,0.19858820670121025
primary,independent σc=0.01 σs=1.0,relegated,T4,9,-0.008214027823069455,0.2343596176422208,0.08610738775038114,0.10018967109077222,0.09432141557345061,0.1897045908551648,0.41237033890625174
primary,main σc=1.0 σs=0.20,promoted,T1,5,-0.3390072301823257,0.22986697725773594,-0.17584398857942546,0.15098220991312225,0.16316324160290022,0.179564351113441,-0.20951421138500362
primary,main σc=1.0 σs=0.20,promoted,T2,7,-0.020812108677178753,0.3734349386670164,0.024919710755303026,0.21085167380829845,0.04573181943248169,0.20645755258261778,-0.07033245285574989
primary,main σc=1.0 σs=0.20,promoted,T3,9,-0.20995474724398772,0.22662189952250064,-0.04394744573599296,0.18889028634830096,0.16600730150799478,0.16006918980822984,-0.08465809645071082
primary,main σc=1.0 σs=0.20,relegated,T2,5,0.5337073604283366,0.3933644589620753,0.2412579939301777,0.16816360865025134,-0.292449366498159,0.24925278012891935,0.2993921754215115
primary,main σc=1.0 σs=0.20,relegated,T3,9,0.3829962077847478,0.3393470260310676,0.16187999115370297,0.15972371584832973,-0.22111621663104483,0.2325758018339021,0.13541938026007905
primary,main σc=1.0 σs=0.20,relegated,T4,9,0.017948023850700007,0.15644644806518385,0.08392297079620893,0.07349514649650125,0.06597494694550893,0.116372185735187,0.1562176684385927
primary,σc=1.0 σs=0.10,promoted,T1,5,-0.3593742767666116,0.1808429985144622,-0.18300244126356785,0.11853896989417433,0.17637183550304383,0.12563409289536687,-0.09321521558739332
primary,σc=1.0 σs=0.10,promoted,T2,7,-0.06472512728340703,0.2962952195025245,-0.0046858724675892405,0.1632965613985732,0.06003925481581781,0.16377180401075853,-0.05252614518670221
primary,σc=1.0 σs=0.10,promoted,T3,9,-0.25040360506858916,0.20196492475788402,-0.08072068401578195,0.15509470845958456,0.1696829210528072,0.13821171036622626,-0.03853113139053311
primary,σc=1.0 σs=0.10,relegated,T2,5,0.46978067069780477,0.26338327759038554,0.21850481065221133,0.12851820219661517,-0.2512758600455934,0.1728107373713249,0.14114918107563112
primary,σc=1.0 σs=0.10,relegated,T3,9,0.36477722219447273,0.2715765274402201,0.14200850863340278,0.11650839458521259,-0.2227687135610699,0.18515382303753888,0.08503929731197382
primary,σc=1.0 σs=0.10,relegated,T4,9,0.03864603993701849,0.08146327287494555,0.08371477013481018,0.03941116482453733,0.045068730197791756,0.0681373084698013,0.08265498061565249
primary,σc=1.0 σs=0.35,promoted,T1,5,-0.3280578533121782,0.2628316045221966,-0.17070692615781374,0.17940647031268192,0.15735092715436452,0.21489403711243818,-0.3175898419612903
primary,σc=1.0 σs=0.35,promoted,T2,7,0.005628399255651744,0.41511596240991727,0.042708332046716646,0.23602780992130828,0.03707993279106491,0.2312207996710392,-0.04223186216168452
primary,σc=1.0 σs=0.35,promoted,T3,9,-0.1921110909850579,0.2514436024196103,-0.022122861067972583,0.2137194784181156,0.16998822991708534,0.18049227186122557,-0.12441832614744255
primary,σc=1.0 σs=0.35,relegated,T2,5,0.5775088797891231,0.47510792742074975,0.2510202746552778,0.20202568038105817,-0.3264886051338454,0.2967725204912443,0.4087164540065002
primary,σc=1.0 σs=0.35,relegated,T3,9,0.38393589195649286,0.398949397871675,0.1742467434507326,0.19977367203892882,-0.2096891485057602,0.27188246341819816,0.12283588266965248
primary,σc=1.0 σs=0.35,relegated,T4,9,0.0027411197445552063,0.21170394666555623,0.08681664726135907,0.09345679976967967,0.08407552751680385,0.16510744790533394,0.20744054035302373
