group,N,mkt_sup,real_gd,err_mean,err_se,t,p
same-tier league (home persp.),3817,0.24583103395660078,0.2504584752423369,0.004627441285736126,0.027406146652238998,0.1688468409825895,0.8659171134516132
same-tier cup (home persp.),199,0.18435969472363933,0.21608040201005024,0.03172070728641095,0.12626216227963527,0.25122892491068294,0.8016371226885562
