cat,team,name,appearances,t5_sub,tournaments,seasons
T5,kelty-hearts-fc,Kelty Hearts F.C.,9,T5a,"73,1520",15/16–20/21
T5,dunbar-united,Dunbar United,9,T6+,73,21/22–24/25
T5,cumnock,Cumnock,9,T6+,73,21/22–25/26
T5,musselburgh-athletic-fc,Musselburgh Athletic FC,9,T6+,73,22/23–25/26
T5,hill-of-beath-hawthorn-fc,Hill Of Beath Hawthorn FC,9,T6+,73,19/20–25/26
T5,coldstream-fc,Coldstream FC,8,T6+,73,12/13–25/26
T5,st-cuthbert-wanderers,St Cuthbert Wanderers,8,T6+,73,10/11–21/22
T5,glasgow-university,Glasgow University,7,T6+,73,12/13–25/26
T5,golspie-sutherland,Golspie Sutherland FC,7,T6+,73,11/12–23/24
T5,girvan-fc,Girvan FC,7,T6+,73,10/11–24/25
T5,east-fife,East Fife,7,T5a,"73,1520",18/19–18/19
T5,pollok-fc,Pollok FC,7,T6+,73,22/23–25/26
T5,burntisland-shipyard,Burntisland Shipyard,6,T6+,73,12/13–25/26
T5,montrose,Montrose,6,T5a,"73,1520",18/19–18/19
T5,dundonald-bluebell,Dundonald Bluebell,6,T6+,73,20/21–25/26
T5,newtongrange-star,Newtongrange Star,6,T6+,73,21/22–25/26
T5,dunipace-fc,Dunipace FC,6,T6+,73,21/22–23/24
T5,wigtown-bladnoch,Wigtown & Bladnoch,5,T6+,73,11/12–21/22
T5,newton-stewart-fc,Newton Stewart FC,5,T6+,73,12/13–22/23
T5,edusport-academy-fc,Edusport Academy FC,5,T6+,73,17/18–18/19
T5,glenafton-athletic,Glenafton Athletic,5,T6+,73,17/18–25/26
T5,raith-rovers,Raith Rovers,5,T5a,"73,1520",18/19–18/19
T5,penicuik-athletic-fc,Penicuik Athletic FC,5,T6+,73,19/20–23/24
T5,benburb,Benburb,5,T6+,73,22/23–25/26
T5,kilwinning-rangers,Kilwinning Rangers,5,T6+,73,22/23–25/26
T5,dundee-north-end-fc,Dundee North End FC,5,T6+,73,24/25–25/26
T5,hurlford-united,Hurlford United,4,T6+,73,14/15–14/15
T5,stenhousemuir,Stenhousemuir,4,T5a,"73,1520",18/19–18/19
T5,arbroath,Arbroath,4,T5a,"73,1520",18/19–18/19
T5,airdrieonians,Airdrieonians,4,T5a,"73,1520",18/19–18/19
T5,haddington-athletic-fc,Haddington Athletic FC,4,T6+,73,20/21–21/22
T5,drumchapel-united,Drumchapel United,4,T6+,73,22/23–22/23
T5,boness-athletic-fc,Boness Athletic FC,4,T6+,73,24/25–25/26
T5,dumbarton,Dumbarton,3,T5a,"73,1520",18/19–18/19
T5,stranraer,Stranraer,3,T5a,"73,1520",18/19–18/19
T5,forfar-athletic,Forfar Athletic,3,T5a,"73,1520",18/19–18/19
T5,tynecastle,Tynecastle,3,T6+,73,21/22–24/25
T5,dalkeith-thistle-fc,Dalkeith Thistle FC,3,T6+,73,21/22–24/25
T5,tayport-fc,Tayport FC,3,T6+,73,23/24–25/26
T5,shotts-bon-accord-fc,Shotts Bon Accord FC,2,T6+,73,12/13–12/13
T5,leith-athletic-fc,Leith Athletic Fc,2,T6+,73,16/17–16/17
T5,colville-park-afc,Colville Park AFC,2,T6+,73,17/18–17/18
T5,carnoustie-panmure,Carnoustie Panmure,2,T6+,73,22/23–22/23
T5,st-andrews-united,St Andrews United,2,T6+,73,23/24–23/24
T5,luncarty-fc,Luncarty FC,2,T6+,73,23/24–23/24
T5,johnstone-burgh-fc,Johnstone Burgh FC,2,T6+,73,25/26–25/26
T5,carluke-rovers-fc,Carluke Rovers FC,2,T6+,73,24/25–25/26
T5,sunnybank,Sunnybank,2,T6+,73,10/11–10/11
T5,hermes-fc,Hermes FC,1,T6+,73,12/13–12/13
T5,blackburn-united,Blackburn United,1,T6+,73,21/22–21/22
T5,syngenta,Syngenta,1,T6+,73,22/23–22/23
T5,rutherglen-glencairn-fc,Rutherglen Glencairn FC,1,T6+,73,24/25–24/25
T5,cupar-hearts-fc,Cupar Hearts FC,1,T6+,73,24/25–24/25
T5,bonnyton-thistle,Bonnyton Thistle,1,T6+,73,25/26–25/26
T5,invergordon-fc,Invergordon FC,1,T6+,73,25/26–25/26
