source,N,logloss,rps
market (Shin),403,0.7979410218313366,0.1636675760622709
tier-only GLM (walk-forward),403,0.8551039834954742,0.18073391509320283
Dixon–Coles network (walk-forward),403,0.8547803426147134,0.18121103817146209
50/50 market+DC,403,0.8155965740209022,0.16883135041344924
