pbin,N,implied_hi_win,realised_hi_win,se,range,gap
1,23,0.2887895383770001,0.30434782608695654,0.09594387554215139,0.00–0.35,0.015558287709956431
2,86,0.4422454114413185,0.45348837209302323,0.05368260171032019,0.35–0.50,0.011242960651704714
3,74,0.5477090604819518,0.5405405405405406,0.05793244721372784,0.50–0.60,-0.007168519941411211
4,89,0.6434994971711064,0.6741573033707865,0.04968091823711921,0.60–0.70,0.03065780619968006
5,66,0.7392564375270824,0.8333333333333334,0.04587349021359835,0.70–0.80,0.094076895806251
6,39,0.8491671328812296,0.9230769230769231,0.04266924586347915,0.80–0.90,0.07390979019569355
7,26,0.928098048989518,0.9615384615384616,0.03771464137272768,0.90–1.00,0.03344041254894359
