window,n,term,coef,se,z,p
primary,411,(Intercept),1.1978393693422902,0.20312291360236795,5.897115928964925,3.6990998090639086e-9
primary,411,gapf: 2,0.6333155273147066,0.2551331187107565,2.4822944606916915,0.013053935301473071
primary,411,gapf: 3,1.317061205014918,0.2962311814949475,4.4460586436859675,8.746008214703327e-6
primary,411,gapf: 4,2.224897515805861,0.656008438211362,3.391568440601388,0.0006949380443932969
primary,411,venue: lo_home,-0.5954737702963029,0.19379692833396536,-3.0726687745542485,0.002121538256717802
primary,411,venue: neutral,0.6608620742706914,0.41557630270823903,1.5902304100690232,0.11178287818370036
primary,411,comp: 1_LC,0.5979374037961284,0.339500469494643,1.761227030661185,0.07819998472190644
primary,411,comp: 2_CC,-0.1522086616778886,0.21296167844907338,-0.7147232440426461,0.474780071944681
long,1494,(Intercept),1.322848141473797,0.10784539716184323,12.26615299574263,1.3763899552701458e-34
long,1494,gapf: 2,0.7095837615562794,0.12342674009291739,5.74902781214261,8.97580540375437e-9
long,1494,gapf: 3,1.2418541711637179,0.1837180427674401,6.759565649933043,1.3840603553622153e-11
long,1494,gapf: 4,1.879912066604981,0.30587710331352863,6.145971850263152,7.947537882734178e-10
long,1494,venue: lo_home,-0.6271765410048219,0.10698572360146177,-5.86224516591719,4.566501122087129e-9
long,1494,venue: neutral,-0.17966495024234638,0.27747051177463206,-0.6475100690637512,0.5173018799174278
long,1494,comp: 1_LC,0.2557840925604388,0.1351779222564005,1.892203166692243,0.05846391662095158
long,1494,comp: 2_CC,-0.3133544178498833,0.13014325259130594,-2.40776537861646,0.016050492238034945
