hi_tier,lo_tier,N,mkt_sup_hi,real_gd_hi,err_mean,err_se,t,p,mkt_p_hi,real_hi_win,mkt_p_draw,real_draw,mkt_p_lo,real_upset
1,2,69,1.26877618650252,1.2608695652173914,-0.007906621285128295,0.2226118495745235,-0.035517522091659384,0.9716670745813033,0.6339701864344071,0.6521739130434783,0.20234774036856631,0.15942028985507245,0.16368207319702682,0.18840579710144928
1,3,13,1.8699821901562204,1.5384615384615385,-0.3315206516946815,0.3733264059375133,-0.888018223254668,0.37453094891339844,0.7446213898312952,0.8461538461538461,0.15870481604674164,0.15384615384615385,0.09667379412196325,0.0
1,4,17,2.294621177423498,2.176470588235294,-0.11815058918820392,0.323688198350837,-0.3650135834119712,0.7151012667022418,0.8106402948963319,0.8235294117647058,0.12351310312840133,0.11764705882352941,0.06584660197526665,0.058823529411764705
1,5,8,3.691907473329338,3.125,-0.5669074733293373,0.6774937184752262,-0.8367715565027299,0.40272098836032294,0.9084227419728083,0.875,0.06200838409047624,0.0,0.029568873936715503,0.125
2,3,57,0.7431764251206336,1.0,0.25682357487936586,0.23931735060220682,1.073150668905147,0.28320352018157297,0.543987822081791,0.631578947368421,0.22872942431002108,0.17543859649122806,0.22728275360818784,0.19298245614035087
2,4,21,1.330940959383988,1.1904761904761905,-0.14046476890779772,0.2012768971249605,-0.6978683143182187,0.4852595516443225,0.673551815064333,0.8571428571428571,0.18744638340591446,0.09523809523809523,0.13900180152975253,0.047619047619047616
2,5,30,1.886955108785511,2.3,0.41304489121448873,0.33287791398918737,1.240829967553526,0.21466856821267144,0.7529879218154737,0.8333333333333334,0.14680443731160142,0.1,0.10020764087292479,0.06666666666666667
3,4,71,0.5332149362171152,0.7605633802816901,0.22734844406457455,0.211701740691546,1.07390918620658,0.2828633857226266,0.49724302868362563,0.5352112676056338,0.23037292032421944,0.2112676056338028,0.27238405099215485,0.2535211267605634
3,5,41,1.3648674847959297,1.5853658536585367,0.22049836886260668,0.32561576374769446,0.6771735075868787,0.4982958744366051,0.6611663328783539,0.6585365853658537,0.17055632600663853,0.0975609756097561,0.16827734111500778,0.24390243902439024
4,5,76,0.9418639909715188,0.6447368421052632,-0.29712714886625563,0.21032927672669344,-1.412676130923748,0.15775097288972809,0.5775037977443676,0.5394736842105263,0.19664028573574205,0.21052631578947367,0.22585591651989056,0.25
