hi_tier,lo_tier,N,hi_win_pct,draw_pct,upset_pct,mean_gd_hi,se_gd_hi,total_goals,n_shots,d_shots_hi,d_sot_hi,n_pxg,d_pxg_hi,n_mkt,mkt_hi_win_pct
1,2,71,66.19718309859155,15.492957746478872,18.30985915492958,1.3380281690140845,0.25369991460137475,2.8309859154929575,71,6.661971830985915,3.0140845070422535,45,0.813355910365397,69,61.711463291646915
1,3,13,84.61538461538461,15.384615384615385,0.0,1.5384615384615385,0.2683134555955942,2.6153846153846154,12,11.333333333333334,5.083333333333333,8,1.7016093037992226,13,72.36484437766175
1,4,18,83.33333333333334,11.11111111111111,5.555555555555555,2.111111111111111,0.38678234315067955,2.7777777777777777,17,10.411764705882353,4.529411764705882,10,1.4709385456636324,17,78.6887602858773
1,5,8,87.5,0.0,12.5,3.125,0.7180703308172536,3.625,8,14.75,5.375,5,2.133284115862671,8,88.28102855891153
2,3,57,63.1578947368421,17.543859649122805,19.298245614035086,1.0,0.2528038259917959,3.175438596491228,54,4.37037037037037,2.5925925925925926,32,0.8756088280971214,57,52.97382170288877
2,4,21,85.71428571428571,9.523809523809524,4.761904761904762,1.1904761904761905,0.19047619047619052,2.5238095238095237,21,6.190476190476191,3.619047619047619,13,0.9039842039088865,21,64.97590366441575
2,5,30,83.33333333333334,10.0,6.666666666666667,2.3,0.3687506088052641,3.3666666666666667,29,9.03448275862069,4.586206896551724,18,1.8979049032525461,30,72.50992001285975
3,4,71,53.52112676056338,21.12676056338028,25.352112676056336,0.7605633802816901,0.216488147948498,3.211267605633803,70,1.3142857142857143,1.0142857142857142,57,0.2171056025766124,71,48.52532295640115
3,5,41,65.85365853658537,9.75609756097561,24.390243902439025,1.5853658536585367,0.3888312847434487,3.7804878048780486,40,7.125,3.225,27,1.4837595799589134,41,63.92438804044905
4,5,81,55.55555555555556,19.753086419753085,24.691358024691358,0.7037037037037037,0.2211393368670841,3.0987654320987654,80,2.7875,1.3625,50,1.2501684597674516,76,55.99808511924839
