move,into,n_structural,mu_theta,mu_alpha,sigma0_alpha,mu_beta,sigma0_beta,se_of_mean_theta
relegated,T3,26,0.2774486035481753,0.11560000482499072,0.19682214220163122,-0.1618485987231846,0.25957436950102974,0.0841468180274571
relegated,T4,30,0.06676016894160405,0.028559461270691314,0.20122426744383407,-0.038200707670912736,0.243140414901149,0.07301971230303032
relegated,T2,21,0.40257005317160516,0.19626176558302535,0.21290867865642218,-0.2063082875885798,0.23380048982173027,0.09011481761297183
promoted,T3,28,-0.002713130884086682,0.004008345187126352,0.21033605705836445,0.0067214760712130325,0.3081318782536132,0.08907250882500704
promoted,T2,28,-0.11463165820700916,-0.045740688282890525,0.23650001555708572,0.06889096992411864,0.29047823722927146,0.09321473821858713
promoted,T1,22,-0.252707145362999,-0.10299316100103861,0.1974527146565618,0.14971398436196037,0.20107176662420426,0.07851515819167976
