hi_tier,lo_tier,N,hi_win_pct,draw_pct,upset_pct,mean_gd_hi,se_gd_hi,total_goals,n_shots,d_shots_hi,d_sot_hi,n_pxg,d_pxg_hi,n_mkt,mkt_hi_win_pct
1,2,286,58.74125874125874,22.727272727272727,18.53146853146853,1.06993006993007,0.11556571148900203,2.895104895104895,71,6.661971830985915,3.0140845070422535,45,0.813355910365397,69,61.711463291646915
1,3,107,80.37383177570094,13.084112149532709,6.5420560747663545,1.8785046728971964,0.16729104952732557,3.130841121495327,12,11.333333333333334,5.083333333333333,8,1.7016093037992226,13,72.36484437766175
1,4,56,82.14285714285714,8.928571428571429,8.928571428571429,2.375,0.26672922696900037,3.4107142857142856,17,10.411764705882353,4.529411764705882,10,1.4709385456636324,17,78.6887602858773
1,5,26,92.3076923076923,3.8461538461538463,3.8461538461538463,2.9615384615384617,0.2960289446906747,3.576923076923077,8,14.75,5.375,5,2.133284115862671,8,88.28102855891153
2,3,226,60.17699115044248,19.469026548672566,20.353982300884958,1.1194690265486726,0.1382411169536106,3.1371681415929205,54,4.37037037037037,2.5925925925925926,32,0.8756088280971214,57,52.97382170288877
2,4,164,74.39024390243902,15.24390243902439,10.365853658536585,1.6829268292682926,0.14875313426760042,3.4146341463414633,21,6.190476190476191,3.619047619047619,13,0.9039842039088865,21,64.97590366441575
2,5,91,76.92307692307693,9.89010989010989,13.186813186813188,2.120879120879121,0.2337960690716359,3.6373626373626373,29,9.03448275862069,4.586206896551724,18,1.8979049032525461,30,72.50992001285975
3,4,192,52.083333333333336,23.4375,24.479166666666664,0.7135416666666666,0.14891668067490482,3.3072916666666665,70,1.3142857142857143,1.0142857142857142,57,0.2171056025766124,71,48.52532295640115
3,5,107,60.747663551401864,21.49532710280374,17.75700934579439,1.514018691588785,0.22744371760983273,3.9065420560747666,40,7.125,3.225,27,1.4837595799589134,41,63.92438804044905
4,5,239,58.15899581589959,17.99163179916318,23.84937238493724,0.9790794979079498,0.14841232814854247,3.221757322175732,80,2.7875,1.3625,50,1.2501684597674516,76,55.99808511924839
