sample,N,intercept,slope,slope_se_hc1,t_slope_eq_1,p_slope_eq_1
cross-tier cup (hi persp.),403,0.09809297981857605,0.9487018245433265,0.08544519786861005,-0.6003634696423221,0.5482640278625254
cross-tier Scottish Cup,222,-0.02261928218988836,0.9592347614313574,0.10731405049732,-0.3798686041550599,0.7040429537416074
cross-tier League Cup,35,0.6064242190403479,0.7447996139824881,0.28596707467120047,-0.8924117796111196,0.37217225955262745
cross-tier Challenge Cup,146,0.09239985650007272,1.0974456364464573,0.16218125144766327,0.6008440283734248,0.5479438759340446
league (home persp.),3817,0.015743548120340272,0.9547815153534824,0.036219195017890206,-1.2484674113873107,0.2118599355376855
league T1,1028,0.08658849832036192,0.9056434305797815,0.049996169711057234,-1.8872759646495574,0.05912321750307628
league T2,924,-0.03495355126452271,1.0712145923691359,0.09439815671167584,0.7544065991314799,0.4506051102414177
league T3,932,-0.05667531760969088,1.06933974525712,0.07876790054754987,0.8803046009238458,0.37869432083738575
league T4,933,0.06495518383068079,0.7706880578578202,0.10888291649395565,-2.106041512535251,0.03520074655360974
