gap,venue,N,hi_win_pct,draw_pct,upset_pct,mean_gd_hi,se_gd_hi,total_goals,n_shots,d_shots_hi,d_sot_hi,n_pxg,d_pxg_hi,n_mkt,mkt_hi_win_pct
1,hi_home,145,67.58620689655173,12.413793103448276,20.0,1.2482758620689656,0.1816619303618484,3.2896551724137932,144,5.1875,2.486111111111111,98,0.9460938487300804,140,59.84265194220741
1,lo_home,129,48.837209302325576,25.581395348837212,25.581395348837212,0.5503875968992248,0.14764020743520828,2.86046511627907,125,2.008,1.288,83,0.5387651284248994,127,48.85928458961414
1,neutral,6,83.33333333333334,16.666666666666664,0.0,1.8333333333333333,0.4013864859597432,2.5,6,4.333333333333333,2.5,3,0.6897459886585634,6,65.94179806093656
2,hi_home,33,78.78787878787878,12.121212121212121,9.090909090909092,1.393939393939394,0.3283896485105037,3.212121212121212,33,8.212121212121213,3.5757575757575757,19,1.3413737800787748,33,68.71976138206249
2,lo_home,42,71.42857142857143,9.523809523809524,19.047619047619047,1.5238095238095237,0.3071696411265988,3.238095238095238,40,7.0,3.7,29,1.3772439971932156,42,63.29487471220674
3,hi_home,24,87.5,12.5,0.0,2.75,0.3522700709662272,3.4166666666666665,22,10.136363636363637,4.909090909090909,12,1.8267892322602053,24,79.02117900496314
3,lo_home,24,79.16666666666666,8.333333333333332,12.5,1.7083333333333333,0.3876684611221195,2.875,24,9.0,4.25,16,1.6843876830037308,23,70.2825317011561
4,hi_home,4,100.0,0.0,0.0,4.0,0.5773502691896257,4.0,4,19.75,7.5,3,2.7290147495616495,4,93.23150556769181
4,lo_home,4,75.0,0.0,25.0,2.25,1.25,3.25,4,9.75,3.25,2,1.2396881653142042,4,83.33055155013125
