sample,side,N,roi,se
all cross-tier,higher tier,403,-0.022659222497932167,0.03938793379098776
all cross-tier,draw,403,-0.3356079404466501,0.07752752582802158
all cross-tier,lower tier,403,-0.21863523573200996,0.10523491171850705
gap = 1,higher tier,273,-0.03187423687423688,0.053432779350880616
gap = 1,draw,273,-0.2441391941391941,0.09635535031493132
gap = 1,lower tier,273,-0.08579975579975582,0.140695962951388
gap ≥ 2,higher tier,130,-0.003307692307692292,0.04838493391740114
gap ≥ 2,draw,130,-0.5276923076923077,0.128576516339894
gap ≥ 2,lower tier,130,-0.4975897435897436,0.13579863579230553
Scottish Cup,higher tier,222,-0.02667417417417417,0.05023666636762752
Scottish Cup,draw,222,-0.4046546546546546,0.09987209480904635
Scottish Cup,lower tier,222,-0.1271921921921922,0.16985664713263715
League Cup,higher tier,35,-0.04885714285714283,0.10781385407660901
League Cup,draw,35,-0.26571428571428574,0.30139571289303385
League Cup,lower tier,35,-0.4614285714285714,0.27235423758827937
Challenge Cup,higher tier,146,-0.010273972602739713,0.07326529176800252
Challenge Cup,draw,146,-0.2473744292237443,0.1328992983097091
Challenge Cup,lower tier,146,-0.29947488584474885,0.11612371889460642
league baseline,home,3817,-0.08403226282057825,0.02037785577178428
league baseline,draw,3817,-0.05904200506505981,0.026704708774788127
league baseline,away,3817,-0.13404643387352322,0.02436108280703815
