source,step,tau,se
"r03 GLM primary, OF split",T1→T2,0.506185317599288,0.12070515953761915
"r03 GLM primary, OF split",T2→T3,0.48373374615003506,0.11419478655063685
"r03 GLM primary, OF split",T3→T4,0.43935412757098236,0.108414331572515
"r03 GLM era 08/09–13/14, OF split",T1→T2,0.18851317901782455,0.12322537848611789
"r03 GLM era 08/09–13/14, OF split",T2→T3,0.6988308682609947,0.1019836739932202
"r03 GLM era 08/09–13/14, OF split",T3→T4,0.22032216667055615,0.13616063594817313
"r03 GLM era 14/15–19/20, OF split",T1→T2,0.17286253975402768,0.12999095834663574
"r03 GLM era 14/15–19/20, OF split",T2→T3,0.6412819134922934,0.1103779145760268
"r03 GLM era 14/15–19/20, OF split",T3→T4,0.3249439564226074,0.1272873496876373
"r03 GLM era 20/21–26/27, OF split",T1→T2,0.5400626425445455,0.11213836814458858
"r03 GLM era 20/21–26/27, OF split",T2→T3,0.451175578291069,0.10753993770379784
"r03 GLM era 20/21–26/27, OF split",T3→T4,0.47725291214770227,0.10353279231925841
r04 DC ratings long,T1→T2,0.4431932025396894,NaN
r04 DC ratings long,T2→T3,0.5435150006593658,NaN
r04 DC ratings long,T3→T4,0.3179995469309826,NaN
r04 DC ratings primary,T1→T2,0.48856209629250125,NaN
r04 DC ratings primary,T2→T3,0.5416798108954429,NaN
r04 DC ratings primary,T3→T4,0.42232872147470396,NaN
