gap,N,mkt_sup_hi,real_gd_hi,err_mean,err_se,t,p,mkt_p_hi,real_hi_win,mkt_p_draw,real_draw,mkt_p_lo,real_upset
1,273,0.8767272413399296,0.9047619047619048,0.02803466342197576,0.11034625240961585,0.2540608567104609,0.7994485431789252,0.5639040014203134,0.5860805860805861,0.21355571549464575,0.19047619047619047,0.22254028308504128,0.22344322344322345
2,75,1.4429212732763699,1.4666666666666666,0.02374539339029693,0.19747668720685274,0.12024403349152867,0.9042898371172051,0.6790998110956045,0.7466666666666667,0.17323128035205368,0.10666666666666667,0.14766890855234197,0.14666666666666667
3,47,2.034408793186486,2.25531914893617,0.22091035574968504,0.24328452764607097,0.9080329024090847,0.3638608383964327,0.7738409078234436,0.8297872340425532,0.13837991218150777,0.10638297872340426,0.08777917999504842,0.06382978723404255
4,8,3.691907473329338,3.125,-0.5669074733293373,0.6774937184752262,-0.8367715565027299,0.40272098836032294,0.9084227419728083,0.875,0.06200838409047624,0.0,0.029568873936715503,0.125
