window,spec,matches,club_seasons,nll,iterations,converged,mu,comp_SC,comp_LC,comp_CC,home,home_cup,rho
primary,main σc=1.0 σs=0.20,4798,633,13832.324157235398,319,true,0.3402194279197031,-0.023160062209937746,0.08922466917606404,0.1045110761074384,0.18463805502549627,-0.022557340505274758,-0.04421772469774769
primary,σc=1.0 σs=0.35,4798,633,13724.940303425828,355,true,0.32570316605249705,-0.015294746562199747,0.10051960132940477,0.100637658942905,0.18442623984101825,-0.034079082146296055,-0.047447862826049965
primary,σc=1.0 σs=0.10,4798,633,13963.832545025869,280,true,0.3488923341542935,-0.03279697222116487,0.07643184919786618,0.107400642521414,0.18511839603062327,-0.013288407377998067,-0.04050097433889116
primary,independent σc=0.01 σs=1.0,4798,633,13668.558636795915,817,true,0.23359461040861595,0.03403345451239761,0.1267051913309188,0.10280284024566637,0.1843883668561057,-0.04177531463527869,-0.04922152784589949
long,main σc=1.0 σs=0.20,16119,1663,46954.66788384353,571,true,0.3145106238226651,0.023723870954878542,0.09152358298964378,0.05237033765438655,0.1685068752599957,0.004642967501178782,-0.0067921916053879814
