fit,family,step,tau,se,lo95,hi95,rate_ratio,d_attack,se_attack,d_concede,se_concede
primary,poisson,T1→T2,0.8005879090238913,0.11870800126899887,0.5679202265366535,1.033255591511129,2.2268497287774194,0.43603141491347686,0.07450229677166628,-0.36455649411041446,0.06166140449869892
primary,poisson,T2→T3,0.4886991803137387,0.11412737957069403,0.26500951635517844,0.712388844272299,1.6301942513307586,0.18771200792725473,0.06565955497702732,-0.300987172386484,0.06532417668406171
primary,poisson,T3→T4,0.43957052972988153,0.109003628124869,0.22592341860513832,0.6532176408546247,1.5520405200966085,0.24423365887695148,0.06035446270131322,-0.19533687085293006,0.06278702429384868
primary,poisson,T4→T5,0.450282781935889,0.10218575676887394,0.24999869866889607,0.650566865202882,1.5687557385575017,0.04598338160046911,0.06603419979126339,-0.4042994003354199,0.05472689449457747
primary,negbin,T1→T2,0.8180896920778358,0.11960450048541138,0.5836648711264295,1.0525145130292421,2.266166623909409,0.44491469391385036,0.07524267350399064,-0.3731749981639854,0.06168359060242278
primary,negbin,T2→T3,0.5067247673901478,0.11464442845406743,0.28202168762017565,0.73142784716012,1.6598459010890105,0.19648403539832987,0.06595627926508156,-0.31024073199181795,0.06550623558639994
primary,negbin,T3→T4,0.4428560239663448,0.10958901332482697,0.22806155784968396,0.6576504900830057,1.557148126190844,0.24588036281957315,0.06050502717970823,-0.19697566114677167,0.06314549274842238
primary,negbin,T4→T5,0.4546322950370625,0.103191373086352,0.2523772037878126,0.6568873862863124,1.5755939228003304,0.0466623729716642,0.06646065233035389,-0.40796992206539817,0.055126140335387805
long,poisson,T1→T2,0.6456367395066421,0.06387830085062567,0.5204352698394158,0.7708382091738685,1.9072010329736497,0.32008395766860515,0.037271162834771006,-0.325552781838037,0.03621777887331318
long,poisson,T2→T3,0.6258804125351444,0.0670165641684483,0.4945279467649857,0.7572328783053031,1.8698915088676415,0.26145430201297337,0.03817889632447499,-0.364426110522171,0.037462050289756445
long,poisson,T3→T4,0.37397839113746767,0.06947226617690504,0.2378127494307338,0.5101440328442015,1.4535057415117396,0.1991200491639843,0.03865462593534793,-0.17485834197348338,0.038566443225534305
long,poisson,T4→T5,0.47027785868881833,0.0651822540932178,0.34252064066611143,0.5980350767115252,1.600438827275862,0.11540956199020747,0.04076555973879084,-0.35486829669861086,0.035985654526296824
long,negbin,T1→T2,0.6601548965375612,0.06440666119311036,0.5339178405990649,0.7863919524760575,1.9350920502474045,0.32758855163467676,0.03768063434772187,-0.33256634490288445,0.03628366166613249
long,negbin,T2→T3,0.6347121622972858,0.06685708325505667,0.5036722791173747,0.7657520454771969,1.8864790635034745,0.2658263512060101,0.03814159565937588,-0.36888581109127566,0.037371095906751035
long,negbin,T3→T4,0.37318959421068554,0.0696478123032848,0.23667988209624732,0.5096993063251237,1.4523596727169703,0.1987746487338713,0.03871455712287172,-0.17441494547681424,0.0386668207800899
long,negbin,T4→T5,0.47969051107830407,0.06541372244802066,0.35147961508018355,0.6079014070764246,1.615574322457339,0.1184532598873912,0.04079001176800058,-0.3612372511909129,0.03613534789366744
long_oldfirm_split,poisson,T0→T1,1.0883610180921934,0.055618925447070505,0.9793479242159353,1.1973741119684516,2.969403283826935,0.5498920068026824,0.03526369295315884,-0.5384690112895111,0.04905053549672881
long_oldfirm_split,poisson,T1→T2,0.2451573042237795,0.08205596867072121,0.08432760562916591,0.40598700281839306,1.2778223042417995,0.09873632317228204,0.044294039127356764,-0.14642098105149745,0.04312650421748933
long_oldfirm_split,poisson,T2→T3,0.592668199018347,0.06927148552943668,0.45689608738065113,0.7284403106560429,1.8088082427868075,0.24409515997735187,0.0390238698257534,-0.3485730390409951,0.03816904115384759
long_oldfirm_split,poisson,T3→T4,0.3318733781280019,0.08217379031541161,0.17081274910979513,0.4929340071462086,1.393576380090352,0.17845571189994525,0.043881721718664154,-0.15341766622805664,0.04457748368787933
long_oldfirm_split,poisson,T4→T5,0.5055190689832876,0.0694773897721701,0.36934338502983416,0.6416947529367409,1.6578458335118726,0.13589122036278478,0.042958893385568554,-0.3696278486205028,0.03714332163268702
long_oldfirm_split,negbin,T0→T1,1.0896972306272188,0.05569372012492074,0.9805375391823742,1.1988569220720635,2.9733736897786796,0.5534190351450384,0.03510352524055991,-0.5362781954821804,0.049184279567199396
long_oldfirm_split,negbin,T1→T2,0.26009942716981366,0.08177995573196875,0.09981071393515492,0.42038814040447237,1.2970590431645188,0.10572795112539282,0.04428131370035611,-0.15437147604442084,0.04289407487167828
long_oldfirm_split,negbin,T2→T3,0.6026769363832971,0.06936461333214478,0.4667222942522934,0.7386315785143008,1.827003030972544,0.24905800191002567,0.039065383340299,-0.3536189344732714,0.038228020819995316
long_oldfirm_split,negbin,T3→T4,0.3359133371432157,0.07982629015811366,0.17945380843331293,0.49237286585311846,1.399217759348112,0.18034274407406614,0.04288259449917988,-0.15557059306914955,0.04339873552207523
long_oldfirm_split,negbin,T4→T5,0.5092608100121576,0.0688374519715122,0.3743394041479937,0.6441822158763215,1.6640606832147455,0.13596626401342993,0.042491489891370776,-0.3732945459987277,0.03704085461159239
primary_oldfirm_split,poisson,T0→T1,1.1496089837307315,0.08452104031365187,0.9839477447159738,1.315270222745489,3.156958246283061,0.6269145897649779,0.06313588905004654,-0.5226943939657536,0.0587762972935741
primary_oldfirm_split,poisson,T1→T2,0.506185317599288,0.12070515953761915,0.26960320490555445,0.7427674302930215,1.6589507390340084,0.2528292020367248,0.06921531610380531,-0.25335611556256316,0.06231779777527624
primary_oldfirm_split,poisson,T2→T3,0.48373374615003506,0.11419478655063685,0.25991196451078685,0.7075555277892833,1.6221196925369812,0.18547464641862926,0.06578140121376216,-0.29825909973140585,0.0652545043120761
primary_oldfirm_split,poisson,T3→T4,0.43935412757098236,0.108414331572515,0.22686203768885296,0.6518462174531118,1.5517046915156862,0.24403327210512715,0.060361198476899046,-0.19532085546585526,0.06224298678183689
primary_oldfirm_split,poisson,T4→T5,0.43767054092824,0.1039001965482043,0.23402615569375956,0.6413149261627205,1.5490944601154801,0.036064138701599635,0.06675861880981677,-0.40160640222664035,0.05527557698483653
primary_oldfirm_split,negbin,T0→T1,1.1516585034884703,0.08502480205269373,0.9850098914651906,1.31830711551175,3.1634351295661074,0.6293179726522086,0.06323644013139207,-0.5223405308362618,0.05901595665223978
primary_oldfirm_split,negbin,T1→T2,0.5245015919231999,0.12169564681259315,0.2859781241705173,0.7630250596758825,1.6896165199646405,0.26180463389622394,0.06972734452132452,-0.26269695802697596,0.0627375024764489
primary_oldfirm_split,negbin,T2→T3,0.5003279127137412,0.11477928260680498,0.2753605188044035,0.725295306623079,1.649261996016714,0.1935256026698915,0.06604715343918484,-0.3068023100438497,0.06552521605296888
primary_oldfirm_split,negbin,T3→T4,0.4413784475996114,0.10904620465633666,0.22764788647319156,0.6551090087260313,1.554849019890938,0.24510034578523032,0.060540081849745714,-0.19627810181438116,0.06261999968589772
primary_oldfirm_split,negbin,T4→T5,0.4442067803076337,0.10436442637257334,0.23965250461738996,0.6487610559978775,1.5592528750780585,0.037479294320368006,0.06700600107307508,-0.4067274859872657,0.055476432619556995
long_t5split,poisson,T1→T2,0.6457629778208936,0.06416040585193764,0.5200085823510958,0.7715173732906915,1.9074418100143153,0.32024774633817493,0.03741925984949842,-0.3255152314827187,0.036315523701362054
long_t5split,poisson,T2→T3,0.6259586843466,0.06714518085598277,0.4943541298688737,0.7575632388243262,1.8700378743913386,0.26150748440222704,0.03823728508656525,-0.3644511999443729,0.037519315905191274
long_t5split,poisson,T3→T4,0.38263721098393977,0.06947328514440222,0.24646957210091142,0.5188048498669682,1.4661460318963744,0.20354398624870618,0.038636565963906404,-0.1790932247352336,0.038590538498896605
long_t5split,poisson,T4→T5,0.333336998777239,0.06713775230075887,0.2017470042677516,0.4649269932867264,1.395617540634523,0.04916086038350176,0.043915374775496695,-0.28417613839373734,0.038890710385024646
long_t5split,poisson,T5→T6,0.4415914620039363,0.07450324941809741,0.29556509314446533,0.5876178308634072,1.5551802604069733,0.22619646191978537,0.053898580477567175,-0.2153950000841509,0.04850984073511087
long_t5split,negbin,T1→T2,0.6604588423288718,0.06461192488905333,0.5338194695463272,0.7870982151114163,1.9356803027257794,0.3278386902743165,0.03778460018821506,-0.33262015205455525,0.03635860431378619
long_t5split,negbin,T2→T3,0.6342814629169506,0.06695677172228325,0.5030461903412755,0.7655167354926258,1.885666733087469,0.26559318214163397,0.038188069014560413,-0.3686882807753167,0.03741446533125206
long_t5split,negbin,T3→T4,0.38308888769080673,0.06967332254863907,0.24652917549547415,0.5196485998861393,1.4668084054859474,0.2038307391219203,0.03870993139963438,-0.17925814856888644,0.0386991063240324
long_t5split,negbin,T4→T5,0.3412629497918489,0.06740523068712644,0.2091486976450811,0.4733772019386167,1.4067230897778367,0.05300325838906339,0.04390262359225511,-0.2882596914027854,0.03916334166398747
long_t5split,negbin,T5→T6,0.4454722420155224,0.0743224807428538,0.29980017975952894,0.5911443042715159,1.56122729889977,0.22574677703055435,0.05390292468126502,-0.21972546498496803,0.04850555207793163
