home_tier,away_tier,N,home_pct,draw_pct,away_pct,mean_gd,se_gd,total_goals,n_shots,d_shots,d_sot,n_pxg,d_pxg,n_mkt,mkt_home_pct,mkt_away_pct
1,1,1096,45.71167883211679,23.722627737226276,30.565693430656932,0.3585766423357664,0.056816165615965676,2.7436131386861313,1066,2.2579737335834897,0.8921200750469043,648,0.40393699189801124,1087,43.55788800446815,32.35154148241343
1,2,38,84.21052631578947,5.263157894736842,10.526315789473683,2.026315789473684,0.37047284788152024,3.289473684210526,38,9.210526315789474,4.131578947368421,25,1.1197039884216065,36,68.7783391345875,13.164373560941353
1,3,6,83.33333333333334,16.666666666666664,0.0,1.5,0.34156502553198664,2.8333333333333335,6,14.5,6.166666666666667,4,2.351469109688299,6,77.39217360731497,8.568080848342722
1,4,8,100.0,0.0,0.0,3.0,0.5345224838248487,3.25,7,10.428571428571429,4.571428571428571,4,1.532211141583634,8,83.54092209876181,5.368722830146918
1,5,4,100.0,0.0,0.0,4.0,0.5773502691896257,4.0,4,19.75,7.5,3,2.7290147495616495,4,93.23150556769181,2.4492795671791785
2,1,30,30.0,26.666666666666668,43.333333333333336,-0.4666666666666667,0.3097397251209597,2.2666666666666666,30,-3.4,-1.6333333333333333,18,-0.5022361878606595,30,22.849004099544423,51.90516411749533
2,2,953,40.18887722980063,29.275970619097585,30.535152151101784,0.21511017838405036,0.057608081906035,2.5362014690451207,881,1.4006810442678774,0.5209988649262202,558,0.2710045414572359,951,41.581442601856146,31.762362427475516
2,3,33,66.66666666666666,15.151515151515152,18.181818181818183,1.0606060606060606,0.32549319786273995,3.303030303030303,32,5.34375,2.78125,19,0.885716336069953,33,57.640189518128324,19.263140947827893
2,4,9,88.88888888888889,11.11111111111111,0.0,1.1111111111111112,0.26057865332352387,2.6666666666666665,9,6.888888888888889,3.3333333333333335,3,1.1576593964109563,9,67.44503298977797,13.54979255563347
2,5,16,81.25,18.75,0.0,2.625,0.46435439052516775,3.5,15,10.0,5.066666666666666,8,1.9740782775984906,16,76.76130745806384,9.384937010121892
3,1,7,0.0,14.285714285714285,85.71428571428571,-1.5714285714285714,0.42857142857142855,2.4285714285714284,6,-8.166666666666666,-4.0,4,-1.0517494979101467,7,12.762365655321858,68.05570503795899
3,2,21,23.809523809523807,23.809523809523807,52.38095238095239,-0.7142857142857143,0.4479735171958757,3.0952380952380953,19,-3.1578947368421053,-2.3157894736842106,12,-0.724149918517827,21,30.323967927143936,45.07841092163968
3,3,950,41.578947368421055,25.57894736842105,32.8421052631579,0.18,0.06275274446628717,2.8263157894736843,924,1.0616883116883118,0.38095238095238093,563,0.13449651792867245,949,42.00114269886624,33.15255307890127
3,4,36,52.77777777777778,22.22222222222222,25.0,0.7222222222222222,0.33714749047723463,3.2222222222222223,36,1.8611111111111112,1.1388888888888888,28,0.3644600571388924,36,51.85767357362533,24.89939401816438
3,5,18,72.22222222222221,11.11111111111111,16.666666666666664,1.5,0.5843828094441659,3.611111111111111,18,6.777777777777778,2.8333333333333335,12,1.050603932792555,18,66.46632150312057,17.03174798892155
4,1,10,10.0,20.0,70.0,-1.4,0.45215533220835125,2.4,10,-10.4,-4.5,6,-1.4300901483836312,9,10.027961924068281,74.37572756331325
4,2,12,8.333333333333332,8.333333333333332,83.33333333333334,-1.25,0.27866021451135636,2.4166666666666665,12,-5.666666666666667,-3.8333333333333335,10,-0.8278816461582658,12,16.48901719410367,63.12405667039408
4,3,35,25.71428571428571,20.0,54.285714285714285,-0.8,0.2743977362280141,3.2,34,-0.7352941176470589,-0.8823529411764706,29,-0.07483233610268691,35,30.541309878735177,45.09776232154199
4,4,942,43.09978768577495,25.690021231422506,31.210191082802545,0.2346072186836518,0.05851536866922221,2.71656050955414,914,0.9452954048140044,0.47045951859956237,560,0.14865506877228682,941,41.57263482065201,32.406787252838036
4,5,38,65.78947368421053,7.894736842105263,26.31578947368421,1.131578947368421,0.3830903993824099,3.3421052631578947,38,4.184210526315789,1.868421052631579,26,1.4496579030688321,35,60.941387437575514,19.37367571586618
5,1,4,25.0,0.0,75.0,-2.25,1.25,3.25,4,-9.75,-3.25,2,-1.2396881653142042,4,6.0010856488099655,83.33055155013125
5,2,14,14.285714285714285,0.0,85.71428571428571,-1.9285714285714286,0.5880147799806287,3.2142857142857144,14,-8.0,-4.071428571428571,10,-1.8369662037757906,14,13.954000309520561,67.65119150405508
5,3,23,30.434782608695656,8.695652173913043,60.86956521739131,-1.6521739130434783,0.532013461047618,3.9130434782608696,22,-7.409090909090909,-3.5454545454545454,15,-1.830284097692,23,18.567313337732045,61.935048808793056
5,4,43,23.25581395348837,30.23255813953488,46.51162790697674,-0.32558139534883723,0.2322811196157895,2.883720930232558,42,-1.5238095238095237,-0.9047619047619048,24,-1.034054896190956,41,26.737083732636492,51.778192896286214
5,5,232,43.103448275862064,14.655172413793101,42.241379310344826,0.21120689655172414,0.1862296925749751,3.6422413793103448,70,0.6857142857142857,0.2714285714285714,11,0.12757709243661886,88,42.46859747418768,37.677024486097736
