upper,lower,auc_upper_beats_lower,pct_lower_above_upper_median,pct_lower_above_upper_bottom,lower_club_seasons
T1,T2,0.9,10.0,34.0,50
T1 excl. Old Firm,T2,0.88,10.0,34.0,50
T2,T3,0.85,14.0,44.0,50
T3,T4,0.8183333333333334,5.0,73.33333333333333,60
T4,T5,0.8136363636363636,17.045454545454547,36.36363636363637,176
