competition,N,mkt_sup_hi,real_gd_hi,err_mean,err_se,t,p,mkt_p_hi,real_hi_win,mkt_p_draw,real_draw,mkt_p_lo,real_upset
Challenge Cup,146,0.8082880544012494,0.9794520547945206,0.17116400039327112,0.1425672842862106,1.2005839996899377,0.2299126107198381,0.5549258399036129,0.5958904109589042,0.21211254423623857,0.18493150684931506,0.23296161586014863,0.2191780821917808
League Cup,35,1.5258237282645999,1.7428571428571429,0.2170334145925427,0.2916146571912057,0.7442472771532823,0.4567268910557382,0.6850736146590214,0.7142857142857143,0.18262202790151924,0.17142857142857143,0.13230435743945942,0.11428571428571428
Scottish Cup,222,1.357226211784164,1.2792792792792793,-0.07794693250488488,0.12286449020422051,-0.6344138357252332,0.5258107825355388,0.6464839355153462,0.6756756756756757,0.18438187777771606,0.14414414414414414,0.16913418670693753,0.18018018018018017
