model,term,coef,se_hc1,p
market only,intercept,0.09809297981857609,0.134368297576787,0.46537143074899723
market only,market Δλ,0.9487018245433265,0.08544519786861005,1.2124233054987387e-28
tier GLM Δλ − market Δλ,intercept,0.10720212743473156,0.13765594159222644,0.43611602683359524
tier GLM Δλ − market Δλ,market Δλ,0.939022054813584,0.09353585785181547,1.0253684109763134e-23
tier GLM Δλ − market Δλ,tier GLM Δλ − market Δλ,-0.02702201033870618,0.138518739101866,0.8453315926753001
DC Δλ − market Δλ,intercept,0.09595898712343966,0.13401012483842603,0.47395569676456445
DC Δλ − market Δλ,market Δλ,0.9432399153075898,0.08624401216696381,7.680233037154771e-28
DC Δλ − market Δλ,DC Δλ − market Δλ,-0.03328492470200759,0.1455754956580537,0.8191458310973658
