model,fold,n_target,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density,delta_tape,delta_alloc
m05_joint_grw_baseline,1,0,101,791,0.08587,128752,0.0,3.971306600342031e-16,0.0,-3128.4751424875203,0,0
m05_joint_grw_baseline,2,1,161,1365,0.104304,132992,0.0,5.726179901825412e-16,0.0,-4302.563154453749,0,0
m05_joint_grw_supremacy_w040,1,0,102,811,0.093303,175408,0.0,9.302083801859046e-16,0.0,-8565.940643533691,20,46656
m05_joint_grw_supremacy_w040,2,1,162,1385,0.114974,181184,0.0,3.483495811790698e-17,0.0,-11880.521364721737,20,48192
m05_joint_grw_smile_supremacy_w040,1,0,108,843,0.175064,395120,0.0,3.602676000716764e-16,0.0,-8248.0300817678,52,266368
m05_joint_grw_smile_supremacy_w040,2,1,168,1417,0.197446,407296,0.0,1.5504686590916283e-16,0.0,-15260.06572554272,52,274304
