model,fold,n_target,n_parameters,tape_instructions,gradient_ms,allocated_bytes,compiled_fresh_error,compiled_forward_error,worst_perturbed_error,log_density
m00_baseline_grw,1,0,98,735,0.054341,35440,0.0,1.0266388891608384e-15,0.0,-2378.629240052311
m00_baseline_grw,2,1,158,1309,0.076011,36608,0.0,7.11234317791934e-16,0.0,-2608.0458168299483
m05_wealth_grw,1,0,101,791,0.084897,128752,0.0,3.971306600342031e-16,0.0,-3128.4751424875203
m05_wealth_grw,2,1,161,1365,0.107239,132992,0.0,5.726179901825412e-16,0.0,-4302.563154453749
m10_lineup_grw,1,0,100,760,0.062175,82096,0.0,5.391660119589509e-16,0.0,-2403.264265408234
m10_lineup_grw,2,1,160,1334,0.081431,84800,0.0,7.079447600973196e-16,0.0,-2678.655249696392
m12_joint_hybrid_synergy_grw,1,0,103,816,0.092472,175408,0.0,5.185114907486046e-16,0.0,-3368.1848295643663
m12_joint_hybrid_synergy_grw,2,1,163,1390,0.111988,181184,0.0,5.508009913080604e-16,0.0,-3653.110823741925
