arm,feature,group,w_median,w_q025,w_q975,supremacy_per_sd,supremacy_per_unit,excludes_zero_95
s2_t_goal,delta_goal,goal history,0.0059269093078527565,-0.024852920295419252,0.036901438675637596,0.011853818615705513,0.04644979421955515,false
s2_t_goal,goal_form_sup,goal history,0.10507505556711841,0.07419132755592148,0.1347989264464406,0.21015011113423682,0.4150516793532818,true
s2_t_goal,delta_ppg,goal history,0.01602580858470054,-0.0006176133617480865,0.0324324288011884,0.03205161716940108,0.07055594339931363,false
s3_t_wealth,delta_prod_wealth,wealth,0.027849788838827137,0.011825516434405148,0.04407680108850333,0.05569957767765427,0.17040246102085996,true
s3_t_wealth,delta_wealth_logsum,wealth,-0.016364366666931245,-0.032944786123846444,5.660449842530345e-5,-0.03272873333386249,-0.1314474470711356,false
s4_t_lineup,delta_lineup,lineup (RAPM),0.0182608097204322,-0.004158548521228565,0.040582016702361515,0.0365216194408644,0.09713571132446736,false
s5_t_pxg,pxg_form_sup,proxy xG,0.1498328772094561,0.12539486517909165,0.1744612814256688,0.2996657544189122,0.7915887962278044,true
s6_t_rest,delta_rest,rest & schedule,-0.003273108586062514,-0.00798033413164431,0.0014541767066409415,-0.006546217172125028,-0.002180454321876685,false
s6_t_rest,log_dist_z,rest & schedule,0.009984672430117483,0.005171801174692512,0.015183311072200773,0.019969344860234967,0.025066671942218465,true
s7_t_nongoal,delta_prod_wealth,wealth,0.03761707820942479,0.02269937134243189,0.05217403472836774,0.07523415641884958,0.2301648583548147,true
s7_t_nongoal,delta_wealth_logsum,wealth,-0.027777241097986793,-0.04346950113800142,-0.012026041677107939,-0.05555448219597359,-0.22312182948015657,true
s7_t_nongoal,delta_lineup,lineup (RAPM),0.012099517325771999,-0.008568137264906978,0.03227995783742141,0.024199034651543997,0.06436161594776002,false
s7_t_nongoal,pxg_form_sup,proxy xG,0.1567945202142866,0.1327931733062432,0.18036427221921528,0.3135890404285732,0.8283681647388812,true
s7_t_nongoal,delta_rest,rest & schedule,-0.003676619968791761,-0.008022436159959538,0.0006514130310307064,-0.007353239937583522,-0.0024492624335736,false
s7_t_nongoal,log_dist_z,rest & schedule,0.011173155551034201,0.006574178213433948,0.01589588628228156,0.022346311102068403,0.02805037688691166,true
s8_t_all,delta_goal,goal history,-0.0036341369928340837,-0.033463444722391655,0.026181524111613938,-0.007268273985668167,-0.028481103171118374,false
s8_t_all,goal_form_sup,goal history,0.07939259104074664,0.049840915207310404,0.1096729286018994,0.15878518208149328,0.3136046710783946,true
s8_t_all,delta_ppg,goal history,0.018748701045856443,0.003323264925636389,0.03412566734289171,0.037497402091712886,0.08254387183090257,true
s8_t_all,delta_prod_wealth,wealth,0.03899822035782638,0.02492567014473771,0.052900238148893705,0.07799644071565276,0.23861555155285982,true
s8_t_all,delta_wealth_logsum,wealth,-0.028604763889644266,-0.04338855654082504,-0.013430066398072333,-0.05720952777928853,-0.22976894027707886,true
s8_t_all,delta_lineup,lineup (RAPM),0.013561539113586657,-0.006133154691178814,0.032642866111804135,0.027123078227173313,0.07213862740045288,false
s8_t_all,pxg_form_sup,proxy xG,0.08991776318695219,0.06439404265330477,0.11557841252925806,0.17983552637390438,0.47504856908777404,true
s8_t_all,delta_rest,rest & schedule,-0.003827138219718858,-0.008048929032983222,0.000453976772102379,-0.007654276439437716,-0.0025495335251447247,false
s8_t_all,log_dist_z,rest & schedule,0.011363684715422043,0.006800500368874426,0.01600422447266503,0.022727369430844087,0.028528703250902235,true
