arm,parameters,mean,std,ess_bulk,ess_tail,rhat,5.0%,50.0%,95.0%,gate_pass
s0_grw1_gauss,sigma_obs,0.0928945820018937,0.0028170017597767606,7781.262545376444,7954.35884296532,1.000084957715525,0.0882848964349664,0.09288242372003866,0.09758904890868705,true
s0_grw1_gauss,sigma_att,0.026919821493377738,0.0024821892485652614,8002.004414493982,7764.991882072182,1.0001508235248102,0.02303551337053449,0.02682545572062793,0.031135117409817656,true
s0_grw1_gauss,sigma_def,0.02901607027390559,0.0026781480320002067,8267.039964763762,7775.7787878343015,1.0006584035533084,0.024750979212837473,0.028930231271035597,0.033533375659474444,true
s1_grw1_t,sigma_obs,0.054829705715426724,0.003934232148083235,1440.7407372644184,2978.751943343271,1.0020750196466879,0.04841530622868947,0.05481737765251976,0.06138628546122033,true
s1_grw1_t,sigma_att,0.028277255969164517,0.0023861334229103247,5257.022520842298,7335.625584803529,1.0002026627284788,0.024555440860052558,0.028188966859371407,0.03235499960303293,true
s1_grw1_t,sigma_def,0.02977694771421199,0.0024431964455337006,5780.122028729654,6762.74531209372,1.0003247318781077,0.02593800845784728,0.029676733663527827,0.033923630191410654,true
s1_grw1_t,nu,2.9411478562634374,0.42524073708695237,1326.9247392447699,2608.586069309713,1.0025457134426585,2.332227924406395,2.8997448623168705,3.7067428514868315,true
s2_t_goal,sigma_obs,0.053641771848992395,0.0036604836936672326,1521.8020964784316,2961.9719516295795,1.0024999473063836,0.04762986167888304,0.053620719747518614,0.059662285323735804,true
s2_t_goal,sigma_att,0.02181486985380483,0.002327106094548308,4903.886328122066,6427.766741253583,1.0003123623145864,0.018126433231778573,0.021782041224792242,0.02572957471661824,true
s2_t_goal,sigma_def,0.024115938683330767,0.0022937995514981297,5973.400714943414,7476.613288817024,1.0006479273982645,0.020494069102769262,0.02405335467137766,0.02799248806409299,true
s2_t_goal,nu,2.813294734121795,0.3738322233704798,1416.03919729298,2374.3317220636422,1.0019915985539407,2.2606461804088416,2.784228181079496,3.4748128910933556,true
s2_t_goal,w_delta_goal,0.00589273133485865,0.01589063650389748,7584.6538807277,7773.51830989956,1.0000334114253904,-0.020158710790605907,0.0059269093078527565,0.03219112052188592,true
s2_t_goal,w_goal_form_sup,0.10485796176670434,0.01536445863018162,7719.886246959458,7572.4325563699895,0.9998220994862842,0.07942316211950315,0.10507505556711841,0.13007682459667466,true
s2_t_goal,w_delta_ppg,0.016035732282365947,0.008426973601585102,7929.695853095606,7931.831966721712,1.0003309669336236,0.002068261778685241,0.01602580858470054,0.02999151938305253,true
s3_t_wealth,sigma_obs,0.05533982066998788,0.003908424906658915,1440.012428281832,2925.2559973694847,1.003753183200269,0.04902539043795302,0.05529564689468938,0.061856930875485716,true
s3_t_wealth,sigma_att,0.027824005916388134,0.002326012937964221,6123.663678934802,7228.2832285386185,1.000561064378889,0.024143107738268502,0.027753841886886968,0.03176771247748228,true
s3_t_wealth,sigma_def,0.0292074441905199,0.002414196636908716,5841.094088262653,7437.691216708661,1.0003184137278724,0.02537265974543281,0.02912233037763157,0.03325768418395187,true
s3_t_wealth,nu,2.9857228554624116,0.4304945453987639,1316.1943681931525,2821.7290899204627,1.0044126343530468,2.364115305240492,2.9389471155505396,3.7598010242052955,true
s3_t_wealth,w_delta_prod_wealth,0.027803642297254554,0.008212687632207887,7757.680012563617,7851.209661893972,0.9998248418254907,0.014342111403642206,0.027849788838827137,0.041463805837253,true
s3_t_wealth,w_delta_wealth_logsum,-0.016368358690889703,0.008544027831917916,7825.33276620233,6708.180792863561,0.9998478979810659,-0.030249918901862252,-0.016364366666931245,-0.002587994897632854,true
s4_t_lineup,sigma_obs,0.05472603269995992,0.00393981392574461,1565.8711799353216,2604.8304957833425,1.0010079157996243,0.04826591154998436,0.05473668025199534,0.061315138641383334,true
s4_t_lineup,sigma_att,0.02819723169717216,0.002376377869282663,5929.88660164365,6191.618267948166,1.000508720982806,0.024382348296664903,0.02813200790592513,0.032231227821119944,true
s4_t_lineup,sigma_def,0.029580042407003578,0.002447233977704118,6043.63996917526,7274.112195694446,1.0002435633720559,0.025698357589504024,0.02950608284408382,0.03375822700609695,true
s4_t_lineup,nu,2.922475911783865,0.4252710652531935,1444.279376020624,2789.309999534304,1.001110107818919,2.3068930525083813,2.877526707624326,3.671819617627782,true
s4_t_lineup,w_delta_lineup,0.018208631647528804,0.011504045648781522,7598.085617971173,7690.350344899214,1.0002102285415624,-0.0008296581076144549,0.0182608097204322,0.0373021606769766,true
s5_t_pxg,sigma_obs,0.05397415805808481,0.003742685728498645,1551.7610570318016,2819.2430902781603,1.0014929872022738,0.04774462274093961,0.053980220005747356,0.06022284959427217,true
s5_t_pxg,sigma_att,0.02370326690632052,0.002257409330023547,5595.900632189373,6998.381770616342,1.000145323699126,0.020137381449391277,0.023632791172087206,0.027575134503732012,true
s5_t_pxg,sigma_def,0.025608956554081398,0.002337290253854011,6169.886598198662,6467.001806126068,1.0007085336792771,0.021943135542059716,0.025510742264602038,0.029562515686774107,true
s5_t_pxg,nu,2.8410569106979247,0.38395928833170584,1427.7328259477506,2726.0353052988903,1.001281364967842,2.2658653585050637,2.8091069526230825,3.512726945416164,true
s5_t_pxg,w_pxg_form_sup,0.14981409507186336,0.012535760034473924,7745.956893785202,7954.8064896729875,1.0001075023771093,0.12954844350073597,0.1498328772094561,0.170691208191906,true
s6_t_rest,sigma_obs,0.054289009030987455,0.00391074882815834,1583.1851771820861,3205.8724944385954,1.0035597924940787,0.04802971229221015,0.05417679840926862,0.06081031503803938,true
s6_t_rest,sigma_att,0.028240964021147362,0.0023797076684986505,5518.5978626254755,6471.272036351815,1.0003780617185312,0.024406621077131423,0.028196083829179472,0.0322815105130814,true
s6_t_rest,sigma_def,0.02943277354839679,0.0024182214868696465,6663.136651625067,7693.08149818722,1.0009659331922967,0.025591400872633535,0.029371157911777468,0.033514896439604897,true
s6_t_rest,nu,2.927398154892945,0.4151776225021536,1360.9649672810751,2931.1400580757618,1.0036114246630945,2.330000351624889,2.8840027387751066,3.675560066656664,true
s6_t_rest,w_delta_rest,-0.0032775898687816014,0.002395842464477948,7393.163133039677,7836.762897724948,1.0002300859394415,-0.00719695967900852,-0.003273108586062514,0.0006735152743598151,true
s6_t_rest,w_log_dist_z,0.01001415076082469,0.002528631109915576,7699.576398464661,7970.171034550796,1.0009223938023886,0.005924614980291752,0.009984672430117483,0.014244599093073657,true
s7_t_nongoal,sigma_obs,0.053672478828335826,0.003648447831889464,1713.1278318248533,3189.560127605172,1.000809778232377,0.047677901024129755,0.053600764797323466,0.05979711894424329,true
s7_t_nongoal,sigma_att,0.022486345122042666,0.0021534216630894735,6322.794171965942,7728.745766871091,1.0002162145897746,0.019065417413245293,0.02241710934963835,0.026059102267810715,true
s7_t_nongoal,sigma_def,0.024155379480098403,0.0022458273966715486,6469.595380248686,7412.803189107895,1.000002526304088,0.02061345262998523,0.024068674221404324,0.027988395775556722,true
s7_t_nongoal,nu,2.824510279144125,0.38514871651762095,1665.2723664851446,2737.32861381874,1.000777221461094,2.26721677503356,2.7874714933511955,3.512732885745537,true
s7_t_nongoal,w_delta_prod_wealth,0.03760258053763333,0.007485297241818654,7566.851561641728,8040.18806899273,1.0002184860685397,0.025365536601088298,0.03761707820942479,0.05015564854158867,true
s7_t_nongoal,w_delta_wealth_logsum,-0.027759235488452175,0.007947210151131978,7556.299036347883,7602.379209326128,1.0005574761696716,-0.040888133649284605,-0.027777241097986793,-0.014744136194717018,true
s7_t_nongoal,w_delta_lineup,0.011932965819273982,0.010331964422949263,7707.402445440537,7919.384630852012,0.9998615709617064,-0.005248865056449713,0.012099517325771999,0.028855388470039454,true
s7_t_nongoal,w_pxg_form_sup,0.1566747702717669,0.012164063693349944,7390.72762502876,7997.944058718519,1.0000929308771278,0.13664770785313823,0.1567945202142866,0.17651723537403002,true
s7_t_nongoal,w_delta_rest,-0.003662846253358474,0.00223899039568954,8139.910755148228,7874.530302089083,0.9998486711580821,-0.007286552267320488,-0.003676619968791761,-2.431117606672559e-5,true
s7_t_nongoal,w_log_dist_z,0.011182779086035424,0.002406648843285237,7053.892679114805,7396.283612611972,0.9999397363143364,0.007276198963005103,0.011173155551034201,0.01523472655518646,true
s8_t_all,sigma_obs,0.05299698899016162,0.0035233297907440835,1663.1718896692971,2853.7534738251506,1.0008231202859137,0.04721271402580316,0.05301635834526003,0.0588122662467104,true
s8_t_all,sigma_att,0.01926981612983861,0.002180289065791293,5615.653137462702,6865.90894606096,0.999998239878575,0.015837438099856983,0.01919810051795153,0.022914891093333372,true
s8_t_all,sigma_def,0.02154106305917331,0.002161062383498204,6514.056352821834,7408.559497567279,1.00017669516425,0.018074428332073768,0.021486547698690527,0.025163871946214254,true
s8_t_all,nu,2.781011997208283,0.36377269889809594,1633.5852184453515,2944.5740229910944,1.0012231378522907,2.234059668023946,2.7532006812109397,3.4287301275621354,true
s8_t_all,w_delta_goal,-0.003658821764025687,0.015228823820438366,7740.47495178429,7684.539363945542,1.000022643957015,-0.029196555485411505,-0.0036341369928340837,0.02088571813947496,true
s8_t_all,w_goal_form_sup,0.07943445112404734,0.015371260051401795,7765.401547924399,7422.157283916171,1.0000477367403238,0.0540964598048017,0.07939259104074664,0.10474464221578886,true
s8_t_all,w_delta_ppg,0.01877758313873594,0.007922144824633229,7647.0050008507815,7295.722875528284,0.9999318671904109,0.005878949021044397,0.018748701045856443,0.03178095342004633,true
