target,feature,group,share,r2_alone
delta_mkt,delta_goal,goal history,0.10720949570883623,0.4170338227832535
delta_mkt,goal_form_sup,goal history,0.1647942080798861,0.5458421899074972
delta_mkt,delta_ppg,goal history,0.11279579015844629,0.3863789783719852
delta_mkt,delta_prod_wealth,wealth,0.02358690150583896,0.10641204025904882
delta_mkt,delta_wealth_logsum,wealth,0.016833815166651646,0.08552070913013021
delta_mkt,delta_lineup,lineup (RAPM),0.024358340012829074,0.09496494443700776
delta_mkt,pxg_form_sup,proxy xG,0.21677156981372286,0.5361133567920002
delta_mkt,delta_rest,rest & schedule,0.00014630024570133014,0.00042350766955578933
delta_mkt,log_dist_z,rest & schedule,0.0019103358908575919,0.0022473128713170754
gap,delta_goal,goal history,0.08144744843539116,0.0031594033917442532
gap,goal_form_sup,goal history,0.05363316760916385,0.06358999295288603
gap,delta_ppg,goal history,0.044705433940506856,0.07541110438308651
gap,delta_prod_wealth,wealth,0.010988570332853434,0.025470884947045858
gap,delta_wealth_logsum,wealth,0.004570069590074658,0.014239828804419652
gap,delta_lineup,lineup (RAPM),0.015574204735429803,0.028639835239216316
gap,pxg_form_sup,proxy xG,0.21936407084493342,0.2623064133938684
gap,delta_rest,rest & schedule,0.00017523483934042702,9.252626665345876e-5
gap,log_dist_z,rest & schedule,0.0025353085283071047,0.0020581976168905225
