model,slope_on_market,r2,sd_model,sd_market
m01 pure-Poisson GRW (Δ_goal),0.38927525846305644,0.41703382278325374,0.2551963644806657,0.4233536621923011
m05 joint + wealth (time decay),0.3575120223368644,0.5952979350271126,0.19616737636718676,0.4233536621923011
m12 joint + wealth + lineup,0.32799606198254944,0.46254588585805845,0.2041712272147861,0.4233536621923011
