match_id,match_date,home_team,away_team,delta_mkt,delta_goal,omega
14035515,2025-09-20,kelty-hearts-fc,hamilton-academical,0.754971826711748,-0.5557004113755536,0.013620538885943738
12476631,2024-08-17,edinburgh-city-fc,bonnyrigg-rose,0.5334542101639115,-0.046733047790798274,0.016832245326933015
14035651,2026-04-18,peterhead,queen-of-the-south,0.6206823686869157,0.0647141799316226,0.029261081156944577
12476753,2024-10-26,dumbarton,inverness-caledonian-thistle,0.6231599919701213,0.1024937120411527,0.0619220977349343
12473327,2025-04-26,dumbarton,annan-athletic,0.4054651081081644,0.20679821678676602,0.07746874529598394
13159980,2024-12-17,elgin-city,clyde-fc,0.6206542703718054,0.15141126543078076,0.08218189138697854
14032707,2026-04-18,east-kilbride,edinburgh-city-fc,2.0128780407436206,0.7940194332069123,0.08229903948441253
12476748,2024-11-02,arbroath,stenhousemuir,0.5549381128600726,0.02532261763495234,0.10041489051711544
12476586,2024-11-09,stirling-albion,peterhead,-0.28999134130782056,0.2767366072191973,0.1044461282152156
14035520,2025-09-27,montrose,queen-of-the-south,0.6095354803782073,0.04193814097635385,0.10674365996787373
14035540,2025-11-01,inverness-caledonian-thistle,montrose,0.7007344528457089,0.47410121947801037,0.11710331794032032
12476614,2024-09-14,peterhead,stirling-albion,0.7458442177093141,0.11141194991206531,0.137078273546423
12473337,2025-05-03,kelty-hearts-fc,alloa-athletic,-0.5666058775723601,-0.1970865800941834,0.13758750789842117
14035609,2026-02-21,alloa-athletic,hamilton-academical,-0.05073624478790156,-0.14026322485979242,0.14079582366160687
12476524,2025-01-25,forfar-athletic,stranraer,0.6162492236639527,0.16744805430654006,0.14144204859712425
12476641,2025-04-19,annan-athletic,arbroath,-0.202218286269037,-0.46751554750848334,0.14905888803298536
12476708,2025-01-04,inverness-caledonian-thistle,dumbarton,0.672817497272249,0.20175387354675894,0.15336480510639175
14035533,2025-10-25,kelty-hearts-fc,east-fife,-9.955746484879846e-6,-0.1605489517712345,0.15452246741650041
15363335,2026-01-17,peterhead,hamilton-academical,0.5894137242489753,-0.4232869176353201,0.16580043634905123
12476588,2024-11-02,elgin-city,stranraer,0.5280046961487873,0.2161104645843406,0.18348758356790987
12476488,2025-03-15,east-fife,stranraer,0.89574385383366,0.5881252416815487,0.19112488660347293
12476723,2024-12-14,queen-of-the-south,stenhousemuir,-0.08116233349733461,0.06707953612339736,0.19544605060599185
12476575,2025-05-03,forfar-athletic,stirling-albion,0.8319447650858424,-0.093483294651764,0.20099206681075027
12476567,2025-05-03,stranraer,bonnyrigg-rose,-0.25793470122487755,0.31869405636442694,0.2042678408505
12476565,2024-12-07,east-fife,elgin-city,0.48022134287971185,0.49215742900287723,0.20521702974422482
14035802,2026-03-14,stirling-albion,forfar-athletic,-0.27893221459986656,0.0804393954332354,0.2088947226213896
12476560,2024-12-14,forfar-athletic,bonnyrigg-rose,0.02118589676762825,-0.015319858484664892,0.2178196074212145
12476668,2025-03-08,kelty-hearts-fc,montrose,0.32879882265213095,0.14432447978535456,0.22561826387383532
12476610,2024-09-28,elgin-city,edinburgh-city-fc,0.6145820346117736,0.20299076570851887,0.2342620053268569
12476709,2025-01-04,montrose,kelty-hearts-fc,0.43300077919455826,0.19672479999927553,0.24281857473226998
12473334,2025-05-03,arbroath,queen-of-the-south,0.46252110219691284,0.38832672390560746,0.24613309178987483
12476755,2024-10-26,alloa-athletic,arbroath,0.1449617950971982,0.388603007849348,0.25126783307914435
12476722,2024-12-14,cove-rangers,kelty-hearts-fc,0.18185358018216063,0.25402613385683237,0.2547354137363751
12476711,2025-01-04,arbroath,alloa-athletic,0.48858635706180786,0.28288725090253053,0.2598471126165207
14035672,2025-08-16,dumbarton,elgin-city,0.5532094014950375,0.3159981126311237,0.2673955327640389
12476574,2024-11-16,stranraer,bonnyrigg-rose,-0.18197859859583715,-0.020441649003774053,0.2675286316372479
12476715,2024-12-28,alloa-athletic,stenhousemuir,0.27889891027863145,0.1925627161808537,0.26996257130499735
12476591,2024-11-02,clyde-fc,bonnyrigg-rose,0.21514134075403646,-0.029588252500792306,0.27095123540411503
12476788,2024-08-24,kelty-hearts-fc,inverness-caledonian-thistle,0.16972429425461033,0.06480360081269697,0.28203851138988273
12476480,2025-03-29,forfar-athletic,peterhead,-0.18696822643496264,-0.14727387614808074,0.28618080552636965
12476513,2025-02-08,bonnyrigg-rose,peterhead,-0.2881850339264219,-0.0690105499534085,0.2917733057894902
12476453,2025-05-03,clyde-fc,peterhead,0.11319381256910582,-0.2073079004098016,0.2967046747046823
12476585,2024-11-09,bonnyrigg-rose,elgin-city,0.3252956200977571,0.2618845833047981,0.300008462937021
12476724,2024-12-07,stenhousemuir,dumbarton,0.3099825008170235,0.2986968184671099,0.3089596867804588
14035800,2026-03-07,edinburgh-city-fc,stranraer,-0.14077443203710716,-0.1724269660947801,0.3095978400310172
14035668,2025-08-09,elgin-city,east-kilbride,-0.4631644399596151,-0.047450242624695195,0.3117886148077278
14035826,2026-04-11,edinburgh-city-fc,clyde-fc,-1.0835999988172424,-0.31046994005995776,0.32594363463613274
12476741,2024-11-02,queen-of-the-south,montrose,0.4134844991627364,0.02435832662110696,0.34807266829124484
12476779,2024-08-31,stenhousemuir,annan-athletic,0.10178090404863588,0.22894312427263824,0.3559278973272455
14035748,2025-12-27,dumbarton,stirling-albion,0.19848696869314952,0.3348012448486258,0.36237950915582473
12476455,2025-04-26,stirling-albion,clyde-fc,0.02615669735382037,0.461751892297846,0.37552328275024127
12476774,2024-09-21,stenhousemuir,queen-of-the-south,0.1809029652189748,0.21070958117338073,0.3834164602015775
12473330,2025-05-03,stenhousemuir,dumbarton,0.7334055866066547,0.3282808894068234,0.3852085980666491
14032717,2026-04-18,stirling-albion,elgin-city,-0.8003319273113421,-0.065884875233266,0.3871725386959683
12476707,2025-01-04,queen-of-the-south,cove-rangers,0.13152253733983177,0.016194806355274257,0.38945696866341406
14035771,2026-01-24,edinburgh-city-fc,annan-athletic,-0.4377562968886283,-0.011480907633405675,0.39110279327508735
12476745,2024-11-09,queen-of-the-south,alloa-athletic,0.27017074733018653,-0.059714402322582745,0.4143751226756438
13343733,2025-03-04,dumbarton,arbroath,-0.8057062471288373,-0.3405202949110071,0.4223499362450488
14035503,2025-08-30,queen-of-the-south,kelty-hearts-fc,0.8051945540781302,0.3473582116772419,0.4298582312827295
12476749,2024-11-02,dumbarton,cove-rangers,0.04844282494301527,0.06923470062612015,0.43158223561087994
12477131,2024-08-03,cove-rangers,annan-athletic,0.15402621140450623,0.22321323529790582,0.43436971022727866
12476564,2024-12-07,clyde-fc,peterhead,-0.05851574834866008,-0.12630773633308734,0.45170943025122534
14035513,2025-09-20,east-fife,montrose,0.3684386636209693,0.2964141649412077,0.4519538895427677
14035564,2025-12-13,inverness-caledonian-thistle,hamilton-academical,0.6172581628087845,-0.17793110939202003,0.457860748097945
14035555,2025-11-15,cove-rangers,hamilton-academical,-0.6171879789680991,-0.48316386131179917,0.46168933099114784
14035824,2026-04-11,elgin-city,annan-athletic,0.49583995246780793,0.2711979984913558,0.4686470996302091
12476521,2025-02-01,edinburgh-city-fc,stirling-albion,-0.20802969627230364,-0.036098342346448216,0.4727644335389437
12476549,2024-12-28,elgin-city,peterhead,-0.16612831635781755,-0.10501726679318413,0.4788377353528205
12476698,2025-01-25,stenhousemuir,cove-rangers,0.08056660518598571,0.2488729675640825,0.48249502022631885
14035592,2026-01-31,alloa-athletic,cove-rangers,0.5257613765600938,0.2369667331478136,0.4832769255781442
14035655,2026-04-25,hamilton-academical,peterhead,0.6682220642188588,0.5010290432562637,0.48751932438650436
14035689,2025-09-13,annan-athletic,clyde-fc,-0.08671702265943121,0.15467761471904398,0.49045873010136376
12476514,2025-02-01,peterhead,forfar-athletic,0.5112830703020798,0.4201478412447836,0.49203946486816724
14035667,2025-08-09,clyde-fc,forfar-athletic,0.32282368451790416,0.20988535714693804,0.49366397293206316
12477135,2024-08-03,alloa-athletic,queen-of-the-south,0.23103195762253692,0.29698842674528736,0.4940926555742133
