model,fold,mean,sd,q05,q50,q95,p_positive,mean_in_band
m03_negbin_pxg_covariate,1,0.7742047109612642,0.11603211222607962,0.5821565975134755,0.7768485518739616,0.9672527750158569,1.0,true
m03_negbin_pxg_covariate,2,0.771991777484458,0.12590964969141588,0.5604862557390518,0.7727434651300216,0.9770855097725545,1.0,true
m03_negbin_pxg_covariate,3,0.7289189443081434,0.12890404266575387,0.5131715651917973,0.7276981545161796,0.9407932218794224,1.0,true
m03_negbin_pxg_covariate,4,0.7556777302889017,0.12773576373960896,0.5427210228462024,0.7563595643652946,0.9648899608813564,1.0,true
m03_negbin_pxg_covariate,5,0.7396439527358791,0.12461629905421885,0.5362633813464811,0.7412609171392117,0.9462931756078976,1.0,true
m03_negbin_pxg_covariate,6,0.7168211236841304,0.12757462776731934,0.5069873366447906,0.717053309090092,0.9238350779572396,1.0,true
m03_negbin_pxg_covariate,7,0.7032534376792463,0.13280935466069424,0.48800576913417965,0.705496674428546,0.9198272473196412,1.0,true
m03_negbin_pxg_covariate,8,0.6849792648681213,0.12995566684988558,0.4665725337047355,0.6872863980651986,0.889651710660437,1.0,true
m03_negbin_pxg_covariate,9,0.6619638918367761,0.13130515956194008,0.4457494063442807,0.6599633634555286,0.8777254363630074,1.0,true
m03_negbin_pxg_covariate,10,0.6630258314099439,0.12985606706040445,0.4531292180622214,0.6607344482920189,0.877324638039293,1.0,true
m03_negbin_pxg_covariate,11,0.6253302815075643,0.1300235579603063,0.41362983450434443,0.6233319311715575,0.8451920330884354,1.0,true
m03_negbin_pxg_covariate,12,0.621475533636337,0.13179070527097012,0.4063022394088499,0.6222701670456036,0.8352851539718482,1.0,true
m03_negbin_pxg_covariate,13,0.6264691563635045,0.13418927031345146,0.40302746954637797,0.6287091291985363,0.840461070261913,1.0,true
m03_negbin_pxg_covariate,14,0.6194408304628279,0.13515565394063217,0.40222652479180915,0.6219534737499214,0.8400446703308202,1.0,true
m03_negbin_pxg_covariate,15,0.6061870409667229,0.1344940720137231,0.3849071580104357,0.6050510725912461,0.833401403950189,1.0,true
m03_negbin_pxg_covariate,16,0.5875090306943137,0.13392279677835028,0.36785555861305147,0.5880280430102705,0.8058190907325298,1.0,true
m03_negbin_pxg_covariate,17,0.6004933891257334,0.13859533035683658,0.3702850010918017,0.6013108095808035,0.8265607753507231,1.0,true
m03_negbin_pxg_covariate,18,0.5920789984912943,0.13815217359684073,0.36394665286530786,0.5918886189184067,0.8174090957173534,1.0,true
m03_negbin_pxg_covariate,19,0.5794846383875792,0.13638428866096777,0.35775589068606767,0.578344346346563,0.8042184358113692,1.0,true
m03_negbin_pxg_covariate,20,0.5493148856198871,0.13482907759716148,0.3315644024275441,0.5503444361762173,0.7625497084243926,1.0,true
m03_negbin_pxg_covariate,21,0.5650377317033329,0.1385008298316144,0.3358701446962411,0.5649369897386332,0.7988813395945733,1.0,true
m03_negbin_pxg_covariate,22,0.6002766047155903,0.14939321523195537,0.35399310549984225,0.6000108103871126,0.8531818272912108,1.0,true
m03_negbin_pxg_covariate,23,0.5757582042059048,0.14786370946801158,0.3285456255507763,0.5762622237165436,0.823033003811638,0.9996875,true
m03_negbin_pxg_covariate,24,0.5708392091621347,0.1511384498485856,0.32825155115808347,0.5688421535147008,0.8157651702064247,1.0,true
m03_negbin_pxg_covariate,25,0.5909439237966225,0.138713105320915,0.36432359394553376,0.5898379284175099,0.8201752079043332,1.0,true
m03_negbin_pxg_covariate,26,0.5969214444503379,0.14208607004243753,0.3533721176106285,0.5992575193770072,0.8316319754548445,1.0,true
m03_negbin_pxg_covariate,27,0.6103138634972862,0.14345033216695147,0.3774031225840346,0.6101285972307242,0.8453304190427193,1.0,true
m03_negbin_pxg_covariate,28,0.6433992027402792,0.13924885978273083,0.416657332300655,0.6429433918059249,0.8648264617099447,1.0,true
m03_negbin_pxg_covariate,29,0.6733503639521508,0.14078008343569207,0.4445868001826553,0.6740507158390714,0.907055362007465,1.0,true
m03_negbin_pxg_covariate,30,0.6768616282173033,0.14383537042552152,0.4361560723048451,0.6769406240275284,0.9148373871067305,1.0,true
m03_negbin_pxg_covariate,31,0.65491737209186,0.1452694191118551,0.41524527616768075,0.6574382035650219,0.8906175618426694,1.0,true
m03_negbin_pxg_covariate,32,0.5912625373140252,0.1466191050578134,0.3455514447746574,0.5916996980899488,0.8326055280135777,0.9996875,true
m03_negbin_pxg_covariate,33,0.5725834632392529,0.1473400201642071,0.3237865933714111,0.5732684882448564,0.8158395766909183,1.0,true
m03_negbin_pxg_covariate,34,0.5921504882531311,0.15150423005592445,0.33725928352973883,0.5934207616903019,0.8443674527371461,1.0,true
m03_negbin_pxg_covariate,35,0.6025019907607081,0.14464866197033327,0.35543301360793345,0.6068300392029952,0.8363773158689485,1.0,true
m03_negbin_pxg_covariate,36,0.6314002630229999,0.15159722885060947,0.38499341994839914,0.6329745656234067,0.8812690097105954,1.0,true
m03_negbin_pxg_covariate,37,0.6313514514948337,0.14490870562355185,0.387007737440377,0.6329833341706284,0.8722979059182514,1.0,true
m03_negbin_pxg_covariate,38,0.6351625139011591,0.13995790785913875,0.402398581787727,0.6362534670891389,0.8703540058699565,1.0,true
m03_negbin_pxg_covariate,39,0.641596825485116,0.14302809052891644,0.4058002544132929,0.641853061900169,0.8799865136342103,1.0,true
m03_negbin_pxg_covariate,40,0.6513831282893964,0.14437247760265207,0.4097326663263652,0.6518504369422133,0.8826197034487888,1.0,true
